example_id,filename,o_tract_fips,d_tract_fips,o_state_fips,d_state_fips,proxy_distance_km,displayed_screenlines,cached_validation_path_rows,cached_unique_screenlines,validation_candidate_screenlines,minimum_mapped_aadt_stations_per_screenline,maximum_mapped_aadt_stations_per_screenline,missing_point_touch_adjacencies,nearby_mdot_station_points,nearby_mdot_unique_station_ids,nearby_fhwa_station_ids,nearby_fhwa_active_station_ids,mapped_station_ids,mapped_fhwa_station_ids,mapped_station_screenline_links,x_min,y_min,x_max,y_max
11,screenline_011_O_24510270200_D_24510260203.png,24510270200,24510260203,24,24,3.2966669287388273,2,3,2,2,1,2,2,172,172,0,0,3,0,3,434072.37880334456,181170.42910904266,442266.67603999993,188472.31412629277
12,screenline_012_O_24005490703_D_24005491201.png,24005490703,24005491201,24,24,3.2250721854459434,2,2,2,2,1,3,0,162,162,1,1,4,0,4,430368.3422990241,189571.25618993794,439639.6152346667,195354.05099068178
13,screenline_013_O_24025303206_D_24025303603.png,24025303206,24025303603,24,24,3.261236480175623,2,2,2,2,1,2,0,76,76,0,0,3,0,3,449704.70572238724,205733.68563906552,461028.6024261092,214439.81499608787
14,screenline_014_O_24005490100_D_24005491201.png,24005490100,24005491201,24,24,3.224703759622906,2,2,2,2,1,5,0,183,183,1,1,6,1,6,432404.9810041262,189571.25618993794,441910.6849090754,199979.00695363418
15,screenline_015_O_24033801802_D_24033802001.png,24033801802,24033802001,24,24,2.4091204071024395,2,2,2,2,3,8,1,109,109,1,0,11,0,11,401479.6054227658,126966.64387529249,410464.98022152856,133228.5141454398
16,screenline_016_O_24005403402_D_24005403601.png,24005403402,24005403601,24,24,3.4564650431115624,2,2,2,2,2,2,0,189,189,5,2,4,0,4,420909.178907434,185387.4170439566,431378.42265927925,193993.07647094826
17,screenline_017_O_24510250103_D_24005430900.png,24510250103,24005430900,24,24,1.886029829428224,2,2,2,2,1,2,0,192,192,4,2,3,0,3,422932.86187245033,174427.127178193,430979.2382641062,180834.8703603312
18,screenline_018_O_24031702402_D_24031702601.png,24031702402,24031702601,24,24,1.4319276107747587,2,2,2,2,1,5,0,101,101,0,0,6,0,6,394539.8547546616,144088.7164764737,401228.05618542095,149963.33805839377
19,screenline_019_O_24510270502_D_24005440100.png,24510270502,24005440100,24,24,2.8898299248294665,2,2,2,2,3,3,0,174,174,3,1,6,0,6,436118.3676274594,185096.40110709262,443381.93511902326,193240.44816537597
20,screenline_020_O_11001001702_D_24031701704.png,11001001702,24031701704,11,24,1.511324476152769,2,2,2,2,1,2,0,70,70,0,0,3,0,3,395798.34564946446,141999.35411353197,403137.8061119274,148458.93257657238
21,screenline_021_O_24005452400_D_24005980000.png,24005452400,24005980000,24,24,6.920111004783341,2,3,2,2,1,2,0,221,221,1,1,3,0,3,438936.3032782916,166334.04235526914,450139.0358559711,183649.84038174854
22,screenline_022_O_24005403500_D_24005403602.png,24005403500,24005403602,24,24,3.1218808604021677,2,2,2,2,2,2,0,116,116,1,1,4,1,4,422386.7429035278,187335.78880954036,432078.29334039724,192860.32895574512
23,screenline_023_O_24005401102_D_24005402406.png,24005401102,24005402406,24,24,3.786713157719759,2,3,2,2,1,6,1,121,121,1,1,7,0,7,416860.9582889126,179600.72350504904,426858.2246489257,187354.33692271975
24,screenline_024_O_24025301401_D_24025301302.png,24025301401,24025301302,24,24,3.9270651360380393,2,2,2,2,2,2,0,43,43,0,0,4,0,4,451939.01273750194,189048.4018803978,462025.4059351055,198769.11944717824
25,screenline_025_O_24003702204_D_24033800513.png,24003702204,24033800513,24,24,6.704809593532229,2,3,2,2,1,2,1,97,97,1,1,3,0,3,417820.7458151813,139970.7144936048,430521.2815074691,150470.77595000496
26,screenline_026_O_24510080500_D_24510090900.png,24510080500,24510090900,24,24,1.0964146430295194,2,2,2,2,1,2,0,183,182,0,0,2,0,3,431678.26936470234,179920.19845129675,437472.0422855131,185301.729357486
27,screenline_027_O_24037875600_D_24037875802.png,24037875600,24037875802,24,24,11.849959192082514,2,2,2,2,1,5,0,75,75,1,1,5,0,6,424016.0350287098,65715.48200150947,449730.8749199514,85478.67316804486
28,screenline_028_O_24510120202_D_24510230100.png,24510120202,24510230100,24,24,5.968908112283759,2,2,2,2,1,5,4,329,328,0,0,6,0,6,430253.176060347,176321.64498330012,436065.9062044421,187427.08204381538
29,screenline_029_O_24033807404_D_24033806712.png,24033807404,24033806712,24,24,5.408840293998908,2,2,2,2,1,5,0,177,177,1,1,6,0,6,404350.560254012,144984.60020629215,415607.2544466936,156428.39209209764
30,screenline_030_O_24005402603_D_24005402602.png,24005402603,24005402602,24,24,2.5009173774672857,2,2,2,2,1,3,0,98,98,2,0,4,0,4,415922.118509689,186148.075904848,423061.0023555245,194982.4601168883
31,screenline_031_O_24011955000_D_24035810500.png,24011955000,24035810500,24,24,19.377443127909356,2,2,2,2,1,2,0,111,111,4,4,3,1,3,477300.6347277145,137109.89179003116,511446.0038108126,167015.75849345437
32,screenline_032_O_24033800514_D_24033803523.png,24033800514,24033803523,24,24,5.758452741902299,2,3,2,2,1,2,1,112,112,1,1,3,0,3,412556.5553779055,135319.09451764522,422367.0342696391,147041.21436811174
33,screenline_033_O_24043000900_D_24043000800.png,24043000900,24043000800,24,24,2.686023227845411,2,3,2,2,1,4,0,129,129,1,1,4,0,5,331284.1442510786,214935.44658344495,339997.27288650855,222331.6158990751
34,screenline_034_O_24003750803_D_24003750203.png,24003750803,24003750203,24,24,2.721296810417515,2,2,2,2,3,6,0,163,163,1,0,7,0,9,429702.0685470311,166623.78721448604,437922.9025827932,174913.4414047628
35,screenline_035_O_24021751902_D_24021750300.png,24021751902,24021750300,24,24,6.42178470607546,2,2,2,2,1,2,0,162,162,1,0,3,1,3,361649.5834251032,189601.4445643841,375089.62406268454,196378.1543415866
36,screenline_036_O_24005408602_D_24005490301.png,24005408602,24005490301,24,24,1.923588074572525,2,2,2,2,2,10,0,139,139,2,2,12,0,12,429792.2803376844,190666.9059848069,436776.44359578483,198115.0117232882
37,screenline_037_O_24025301202_D_24025303502.png,24025301202,24025303502,24,24,5.950257507654329,2,2,2,2,1,2,0,109,109,2,1,3,0,3,450053.09211086354,198866.63247772784,461362.4933410267,210567.3089974001
38,screenline_038_O_24003730700_D_24003731203.png,24003730700,24003731203,24,24,4.074864576786206,2,2,2,2,1,7,0,83,83,1,0,7,0,8,433143.97595170804,150602.18573238203,443270.5600131601,162906.89042455293
39,screenline_039_O_24025301204_D_24025301107.png,24025301204,24025301107,24,24,2.1295258691353496,2,2,2,2,3,6,0,48,48,1,0,7,0,9,455011.59307890077,196319.94812790948,463379.66422580695,203315.4787591523
40,screenline_040_O_24005491701_D_24005492101.png,24005491701,24005492101,24,24,2.780307965277883,2,2,2,2,3,4,0,153,153,2,1,7,0,7,435147.1487627094,187606.48509587973,442657.1689433608,196446.72677449122
41,screenline_041_O_24013513001_D_24027604002.png,24013513001,24027604002,24,24,13.21513709534669,2,3,2,2,11,11,1,103,103,1,0,22,0,22,383567.7668951895,172005.2971687423,403477.92601067346,197939.3048880318
42,screenline_042_O_24025303603_D_24025303203.png,24025303603,24025303203,24,24,1.7513860176068894,2,2,2,2,1,2,0,70,70,0,0,3,0,3,450708.8785789472,206371.49160929697,461028.6024261092,214439.81499608787
43,screenline_043_O_24005491701_D_24005491500.png,24005491701,24005491500,24,24,3.0234905302103807,2,2,2,2,1,2,1,158,158,2,1,2,0,3,434471.3921690715,188415.01116370736,442657.1689433608,196446.72677449122
44,screenline_044_O_24005408503_D_24005408100.png,24005408503,24005408100,24,24,8.208236589912522,2,2,2,2,1,3,0,102,102,2,2,4,1,4,426632.2737736499,196612.57298850472,435531.75856878667,214651.20039296563
45,screenline_045_O_24027606805_D_24027606804.png,24027606805,24027606804,24,24,6.412547791154793,2,2,2,2,1,8,0,175,175,1,1,9,0,9,405120.91558973375,158822.40870084194,416741.0002407792,169507.55604890222
46,screenline_046_O_24005490701_D_24005490301.png,24005490701,24005490301,24,24,1.4029119722496821,2,3,2,2,2,2,0,121,121,2,1,4,0,4,429623.7942285872,189892.88792848913,436405.94617499784,196363.80719734915
47,screenline_047_O_24005411408_D_24005411409.png,24005411408,24005411409,24,24,2.767749967631413,2,2,2,2,1,2,0,77,77,0,0,3,0,3,440422.3986990197,188689.0728875309,446915.81092528964,197198.70894065461
48,screenline_048_O_24025301602_D_24025302400.png,24025301602,24025302400,24,24,7.117787611150473,2,2,2,2,1,2,0,125,125,2,0,3,0,3,457764.9827692363,192444.0719090436,473177.79656143615,207931.3903466181
49,screenline_049_O_24005491401_D_24005492102.png,24005491401,24005492102,24,24,1.8571303368546264,2,2,2,2,2,3,0,126,126,0,0,3,0,5,434000.9051995316,187397.12628782945,441394.21624981135,192848.50035130145
50,screenline_050_O_24003751102_D_24003750202.png,24003751102,24003750202,24,24,3.725509704138758,2,2,2,2,4,6,0,229,228,1,0,8,0,10,429825.39568585873,164921.08521928117,438845.0201637888,175566.93440258244
51,screenline_051_O_24031704503_D_24031704803.png,24031704503,24031704803,24,24,3.9814683380822107,2,3,2,2,1,2,2,159,159,0,0,3,0,3,386834.3769522718,142983.53741014434,394241.53125817777,151751.1530982994
52,screenline_052_O_24031701215_D_24031701205.png,24031701215,24031701205,24,24,2.4799137570626213,2,2,2,2,2,2,0,166,166,0,0,3,0,4,384627.3603310988,148406.69485915857,393074.14007746574,156268.8780725737
53,screenline_053_O_24005491401_D_24005491202.png,24005491401,24005491202,24,24,1.1918719939792308,2,2,2,2,1,2,0,116,116,1,1,3,0,3,433840.2321330717,187397.63622934415,439439.26113628765,193768.85719327733
54,screenline_054_O_24005491900_D_24510270501.png,24005491900,24510270501,24,24,3.3697204235342286,2,3,2,2,3,4,1,156,156,3,1,7,0,7,436475.7148739706,185693.2176158306,443062.12380894856,194565.05348014022
55,screenline_055_O_24027602306_D_24027602100.png,24027602306,24027602100,24,24,5.680631516784394,2,2,2,2,2,2,0,130,130,1,0,4,0,4,408286.7270722716,172599.3775068109,419897.31639699574,185986.44243183426
56,screenline_056_O_24005404501_D_24005404800.png,24005404501,24005404800,24,24,4.151136596666234,2,2,2,2,2,3,0,78,78,1,1,5,0,5,407200.4545824058,193375.09301036902,419424.5859634708,204306.2086047664
57,screenline_057_O_24031702402_D_24031702800.png,24031702402,24031702800,24,24,2.641269993945635,2,2,2,2,1,5,0,132,132,1,1,6,0,6,393256.1773402469,144088.7164764737,401228.05618542095,151526.69663060844
58,screenline_058_O_24033802407_D_24033802002.png,24033802407,24033802002,24,24,1.4125794243710985,2,2,2,2,1,2,0,85,85,0,0,3,0,3,403974.69900671876,128136.17244289129,410667.78740624205,135069.73903661588
59,screenline_059_O_24005404403_D_24005403702.png,24005404403,24005403702,24,24,7.724531519781526,2,2,2,2,3,5,0,155,155,3,1,8,0,8,412560.2516805103,187737.50542087646,424909.178907434,200529.04799684056
60,screenline_060_O_24025301702_D_24025302902.png,24025301702,24025302902,24,24,5.863587481968984,2,2,2,2,2,4,0,121,121,2,0,6,0,6,457849.8561378268,194135.43674032754,474889.2028184706,207097.80321459778
61,screenline_061_O_24017851301_D_24017851400.png,24017851301,24017851400,24,24,15.350823078647682,2,2,2,2,1,4,0,105,105,3,2,5,0,5,402693.8590480689,77123.24770713241,431675.02785891516,109698.4378471066
62,screenline_062_O_24031701211_D_24031700904.png,24031701211,24031700904,24,24,4.5746847773458965,2,3,2,2,1,5,1,229,229,0,0,6,0,6,382074.3072815231,152506.03120118447,391846.92196520313,163564.96146324713
63,screenline_063_O_24045010300_D_24045000300.png,24045010300,24045000300,24,24,3.3804839667845057,2,3,2,2,2,4,0,94,94,0,0,5,0,6,511997.0675126605,73402.75945967945,524310.1639596666,85673.29464005068
64,screenline_064_O_24029950200_D_24029950500.png,24029950200,24029950500,24,24,27.646712099391966,2,2,2,2,1,2,1,188,188,2,2,3,0,3,458308.22433972714,144043.2509054018,499421.5570051732,193628.45128654092
65,screenline_065_O_24005450100_D_24005441102.png,24005450100,24005441102,24,24,1.7541210374000096,2,2,2,2,2,2,0,217,217,3,2,4,0,4,438531.52574754413,179316.11219245696,447356.44916524715,187993.4206484513
66,screenline_066_O_24031701415_D_24031701421.png,24031701415,24031701421,24,24,4.592423557441316,2,2,2,2,1,9,0,153,153,2,1,10,0,10,397820.6232025015,149471.30632524265,406174.96113656956,161342.29371914954
67,screenline_067_O_24005401301_D_24510280401.png,24005401301,24510280401,24,24,1.7752073829273398,2,3,2,2,5,6,0,132,132,1,0,7,0,11,421148.6033337157,178035.51666111397,428791.77660259133,183843.5108974102
68,screenline_068_O_24005430900_D_24510200500.png,24005430900,24510200500,24,24,4.305533936489728,2,2,2,2,1,9,2,274,274,4,2,10,0,10,422932.86187245033,174427.127178193,432508.3023700147,181789.6736730719
69,screenline_069_O_24005411407_D_24510270501.png,24005411407,24510270501,24,24,3.2962045463403182,2,3,2,2,3,4,1,184,184,3,1,7,0,7,436617.7667071266,185693.2176158306,445160.4928235988,194024.33414294088
70,screenline_070_O_24005408100_D_24005407002.png,24005408100,24005407002,24,24,14.667450941556888,2,2,2,2,2,4,0,110,110,2,2,6,0,6,423803.4073146911,200802.47880091734,439308.8165916948,230196.84627179528
71,screenline_071_O_24033800607_D_24033800509.png,24033800607,24033800509,24,24,4.304534112685436,2,3,2,2,1,3,0,93,93,1,1,4,0,4,414309.52403600066,126044.59718719067,424902.02176978963,139298.6771626332
72,screenline_072_O_24510270301_D_24510270702.png,24510270301,24510270702,24,24,2.1928106634363593,2,2,2,2,1,3,0,117,117,0,0,4,0,4,434036.5419108909,184152.63010716962,440617.7667071266,191030.80567879474
73,screenline_073_O_24510271200_D_24005490500.png,24510271200,24005490500,24,24,3.6252228792462784,2,2,2,2,1,2,0,230,230,4,2,3,0,3,427923.40688464453,185286.50015662832,435622.8573847421,195970.72000115947
74,screenline_074_O_24031701206_D_24031701210.png,24031701206,24031701210,24,24,2.498035391602551,2,2,2,2,2,8,0,152,152,0,0,10,0,10,380805.044980319,150079.3249055795,389378.05534359557,158129.14784253057
75,screenline_075_O_24031704503_D_24031704401.png,24031704503,24031704401,24,24,1.723410826329296,2,2,2,2,6,6,0,140,140,0,0,8,0,12,386834.3769522718,146025.00109813514,393722.42746396165,153421.46501917008
76,screenline_076_O_24005492001_D_24005491701.png,24005492001,24005491701,24,24,2.146782273310885,2,2,2,2,1,3,0,142,142,2,1,4,0,4,435147.1487627094,188324.73434933007,442657.1689433608,196446.72677449122
77,screenline_077_O_24005440702_D_24005440900.png,24005440702,24005440900,24,24,4.419740625777325,2,2,2,2,1,5,0,205,205,3,1,6,0,6,439893.39870665275,183153.5801255594,449740.5231269374,191726.7700057891
78,screenline_078_O_24001001800_D_24001002100.png,24001001800,24001002100,24,24,11.529720947289148,2,2,2,2,1,2,0,60,60,2,2,3,1,3,222482.11698869776,203863.2659583124,236906.97593154907,226914.71352125745
79,screenline_079_O_24005408507_D_24005408900.png,24005408507,24005408900,24,24,2.903626808969268,2,2,2,2,2,2,0,70,70,1,1,4,0,4,428051.2684829815,196738.21647784964,435889.94499932986,206162.75029557312
80,screenline_080_O_24027606803_D_24027606707.png,24027606803,24027606707,24,24,5.185701145178481,2,2,2,2,1,3,0,164,164,3,2,4,1,4,407984.56353538996,163581.57428696597,420103.29493979306,172072.8727281315
81,screenline_081_O_24027602304_D_24027602201.png,24027602304,24027602201,24,24,4.011150317106774,2,2,2,2,2,2,0,81,81,1,0,4,0,4,407506.37612155516,172174.15952496178,415485.2806000289,183730.32269558887
82,screenline_082_O_24027606901_D_24027601204.png,24027606901,24027601204,24,24,6.650846249501602,2,2,2,2,2,9,0,285,285,4,4,11,0,11,412741.0002407792,159958.9662879518,426196.1744916844,173555.43048023584
83,screenline_083_O_24510271501_D_24510130806.png,24510271501,24510130806,24,24,3.1431679561810872,2,2,2,2,3,4,0,178,178,1,1,7,0,7,425730.1864633307,182392.98246152102,432995.1557608467,191382.12114703338
84,screenline_084_O_24510170200_D_24510110200.png,24510170200,24510110200,24,24,0.7905517112721434,2,2,2,2,2,2,0,209,208,0,0,2,0,4,429765.2391274939,178815.9972112227,435297.5717466808,184391.36924851872
85,screenline_085_O_24021751904_D_24021751801.png,24021751904,24021751801,24,24,8.74500794401217,2,2,2,2,1,2,0,125,125,2,0,3,0,3,364040.41042886884,185471.02359585758,382993.73769996973,200380.0865753095
86,screenline_086_O_24043011100_D_24043011202.png,24043011100,24043011202,24,24,8.507446759515062,2,2,2,2,2,3,0,162,162,0,0,5,0,5,335668.8737329222,208704.80035258524,351679.607859718,226485.80486395175
87,screenline_087_O_24031700724_D_24031700816.png,24031700724,24031700816,24,24,2.773040007738716,2,2,2,2,1,3,0,113,113,0,0,4,0,4,378918.61086096027,156748.36245671043,384855.2155220033,166204.48814130743
88,screenline_088_O_24005401200_D_24510280200.png,24005401200,24510280200,24,24,2.1278158151485753,2,2,2,2,1,4,0,159,159,0,0,5,0,5,421389.90799384203,179553.80630417026,428951.2490270079,187383.55577820813
89,screenline_089_O_24033807407_D_24033807404.png,24033807407,24033807404,24,24,3.666162725739552,2,2,2,2,5,5,0,178,178,1,0,10,0,10,402647.24029135244,147617.2154282067,411459.080170384,159489.7993598745
90,screenline_090_O_24031701509_D_24033807305.png,24031701509,24033807305,24,24,2.4236092574812904,2,3,2,2,1,2,0,131,131,1,1,3,0,3,398695.500080206,146275.97734175387,406342.1532259486,155163.51464532368
91,screenline_091_O_24031702900_D_24031702402.png,24031702900,24031702402,24,24,1.8382642144278594,2,2,2,2,4,5,0,113,113,1,1,8,0,9,394376.47911862057,144088.7164764737,401228.05618542095,151656.53755851014
92,screenline_092_O_24043010802_D_24043001002.png,24043010802,24043001002,24,24,3.9418663653719883,2,2,2,2,1,10,0,96,96,0,0,11,0,11,326442.3411508857,209595.48607687018,337388.3534181518,219835.26940374656
93,screenline_093_O_24003750801_D_24003750900.png,24003750801,24003750900,24,24,2.016011125627858,2,3,2,2,2,7,0,196,195,3,1,9,0,9,427783.66463056055,163505.9278441936,435450.2122756002,172099.68196906138
94,screenline_094_O_24031701219_D_24031700904.png,24031701219,24031700904,24,24,2.161781543828962,2,2,2,2,1,2,1,168,168,0,0,3,0,3,385366.2436727195,151223.72504358596,393780.8005316015,159065.71956423414
95,screenline_095_O_24021750803_D_24021750505.png,24021750803,24021750505,24,24,5.263709086901157,2,2,2,2,2,5,2,182,182,2,0,7,0,7,358910.94188641116,190736.47019230467,370810.5524909744,200308.05622464148
96,screenline_096_O_24025303203_D_24025304201.png,24025303203,24025304201,24,24,12.667608967742995,2,2,2,2,2,4,1,125,125,1,1,6,0,6,435249.96466742613,202449.9450028189,457247.5843722507,220727.90543808433
97,screenline_097_O_24031700710_D_24031700105.png,24031700710,24031700105,24,24,3.4416370178170785,2,2,2,2,2,2,0,99,99,0,0,4,0,4,382141.39192883426,160633.23102101943,389591.4809952717,171315.17367873373
98,screenline_098_O_24033801214_D_24033801217.png,24033801214,24033801217,24,24,4.170379646208201,2,2,2,2,10,10,0,108,108,0,0,12,0,20,405065.8540280054,118283.88321837503,416223.38143435447,128565.91691290968
99,screenline_099_O_24013504100_D_24013507704.png,24013504100,24013507704,24,24,13.752823004602437,2,2,2,2,2,2,2,115,115,1,1,4,0,4,393000.03237544745,200306.2086047664,414249.32759886846,217144.99890642075
100,screenline_100_O_24005450503_D_24005450300.png,24005450503,24005450300,24,24,2.0704266611351194,2,2,2,2,3,3,0,121,121,1,1,6,0,6,442892.2010909457,178739.97303511758,449794.1086239456,186560.29454752963
101,screenline_101_O_24043010900_D_24043001002.png,24043010900,24043001002,24,24,7.840630671048236,2,2,2,2,3,4,0,145,145,0,0,4,0,7,321604.7519160473,200644.7397239745,341706.76269264345,219835.26940374656
102,screenline_102_O_24005440701_D_24005440300.png,24005440701,24005440300,24,24,4.1859653810798045,2,2,2,2,3,4,0,210,210,3,1,7,0,7,439044.41899485525,183443.3306571876,448327.40696937207,192957.12779913377
103,screenline_103_O_24005403402_D_24005404403.png,24005403402,24005404403,24,24,11.963862690893661,2,2,2,2,5,9,2,210,210,3,1,14,0,14,412560.2516805103,185387.4170439566,426893.2128055403,200529.04799684056
104,screenline_104_O_24017850802_D_24017850708.png,24017850802,24017850708,24,24,7.412771024923914,2,2,2,2,2,3,0,55,55,3,2,5,0,5,400839.84811957454,97146.62294930399,419652.93722778687,112405.40687575383
105,screenline_105_O_24003730700_D_24003731103.png,24003730700,24003731103,24,24,6.202175220202397,2,2,2,2,2,7,0,94,94,1,0,9,0,9,433143.97595170804,147709.48832595345,448451.50810020533,159366.98597974144
106,screenline_106_O_24031702700_D_24031704200.png,24031702700,24031704200,24,24,3.37251911249889,2,2,2,2,2,4,0,157,157,0,0,6,0,6,390827.83561344724,144476.96441529528,398371.0139775249,153679.95881880765
107,screenline_107_O_24027606707_D_24027606904.png,24027606707,24027606904,24,24,6.619316174080462,2,3,2,2,1,5,1,234,234,3,2,6,0,6,410335.75924178655,158225.9353433651,420103.29493979306,172072.8727281315
108,screenline_108_O_24031701205_D_24031704401.png,24031701205,24031704401,24,24,2.4360302212488745,2,3,2,2,8,11,0,194,194,0,0,11,0,19,384627.3603310988,147718.3937544816,393722.42746396165,156268.8780725737
109,screenline_109_O_24003730601_D_24003740203.png,24003730601,24003740203,24,24,5.232592199439494,2,2,2,2,1,4,0,171,171,2,1,5,0,5,425180.1941044851,154567.81111404242,436766.60084466124,165331.32695092692
110,screenline_110_O_24510010300_D_24510020300.png,24510010300,24510020300,24,24,1.3716913758748748,2,2,2,2,2,2,0,196,195,0,0,3,0,4,432289.53749306814,176823.71618121758,438596.13328002987,182532.9412134093
111,screenline_111_O_24033801905_D_24033801908.png,24033801905,24033801908,24,24,3.36816917151964,2,2,2,2,1,3,0,161,161,1,0,4,0,4,401818.2394190356,125798.16456474715,411754.22452495055,133623.55066203576
112,screenline_112_O_24005980000_D_24005452000.png,24005980000,24005452000,24,24,4.7319376388703995,2,2,2,2,3,4,0,72,72,0,0,7,0,7,438936.3032782916,166334.04235526914,450592.24507030484,178218.13156814105
113,screenline_113_O_24025303501_D_24025304202.png,24025303501,24025304202,24,24,13.172118176231749,2,2,2,2,1,2,1,141,141,2,1,3,0,3,439537.460305318,200097.70773318433,459900.0846563302,219899.9534226219
114,screenline_114_O_24017850709_D_24017850801.png,24017850709,24017850801,24,24,4.093049292788143,2,3,2,2,2,3,0,24,24,1,0,5,0,5,405173.63658592995,104539.48714032656,415751.09521994187,112387.93477277124
115,screenline_115_O_24031702200_D_24031701900.png,24031702200,24031701900,24,24,1.7080586075405237,2,2,2,2,2,2,0,111,111,1,1,4,0,4,396405.2195669209,144461.28781353735,402440.2919930809,151826.72538469618
116,screenline_116_O_24005492300_D_24005450503.png,24005492300,24005450503,24,24,2.6330682279183892,2,3,2,2,3,5,1,105,105,2,2,8,0,8,443656.9511258994,178739.97303511758,450471.6929145805,187081.07063475472
117,screenline_117_O_24005403402_D_24005403803.png,24005403402,24005403803,24,24,3.4937585873586037,2,2,2,2,2,2,0,194,194,6,2,3,0,4,420909.178907434,185387.4170439566,431040.92961414903,195342.48186925513
118,screenline_118_O_24005411309_D_24005411306.png,24005411309,24005411306,24,24,4.721404203306107,2,3,2,2,1,2,1,120,120,1,0,3,0,3,441000.3461776337,188129.22244122025,452834.4256782606,197603.77982463408
119,screenline_119_O_24033802203_D_24033802104.png,24033802203,24033802104,24,24,1.575417535554483,2,3,2,2,2,3,0,74,74,1,1,4,0,5,407539.9452839084,127219.83666434631,414767.85589148756,134709.85020560806
120,screenline_120_O_24021751004_D_24021750503.png,24021751004,24021750503,24,24,3.7450147514502565,2,2,2,2,1,3,0,134,134,0,0,4,0,4,354396.20713222167,187420.0881979488,364340.47152479296,198223.57227700562
