OBJECTID,LOCATION_ID,COUNTY_ID,COUNTY_DESC,MUN_SORT,MUNICIPALITY,ROADNAME,ID_PREFIX,ID_RTE_NO,MP_SUFFIX,ID_MP,BEGIN_SECTION,END_SECTION,STATION_DESC,ROAD_SECTION,RURAL_URBAN,F_SYSTEM,F_SYSTEM_DESC,ROUTEID,ROUTEID_RH,MAIN_LINE,PEAK_HOUR_DIRECTION,NUM_LANES,COUNTED_FACTORED,STMP_SEQ,K_FACTOR,D_FACTOR,NORTH_EAST_SPLIT,SOUTH_WEST_SPLIT,AVMT,LINK,AADT_2010,AADT_2011,AADT_2012,AADT_2013,AADT_2014,AADT_2015,AADT_2016,AADT_2017,AADT_2018,AADT,AAWDT_2010,AAWDT_2011,AAWDT_2012,AAWDT_2013,AAWDT_2014,AAWDT_2015,AAWDT_2016,AAWDT_2017,AAWDT_2018,AAWDT,MOTORCYCLE_AADT,CAR_AADT,LIGHT_TRUCK_AADT,BUS_AADT,SINGLE_UNIT_AADT,COMBINATION_UNIT_AADT,LOC_ERROR,TRUCK_AADT,SUTRUCK_AADT_PCT_TRUCK,CUTRUCK__AADT_PCT_TRUCK,MCYCLE_AADT_PCT_OVERALL,CAR_AADT_PCT_OVERALL,LIGHT_TRUCK_AADT_PCT_OVERALL,BUS_AADT_PCT_OVERALL,SUTRUCK_AADT_PCT_OVERALL,CUTRUCK_AADT_PCT_OVERALL,TRUCK_AADT_PCT_OVERALL,NUM_LANES_ANNO,K_FACTOR_ANNO,D_FACTOR_ANNO,NORTH_EAST_SPLIT_ANNO,SOUTH_WEST_SPLIT_ANNO,AADT_2010_ANNO,AADT_2011_ANNO,AADT_2012_ANNO,AADT_2013_ANNO,AADT_2014_ANNO,AADT_2015_ANNO,AADT_2016_ANNO,AADT_2017_ANNO,AADT_2018_ANNO,AADT_ANNO,AAWDT_2010_ANNO,AAWDT_2011_ANNO,AAWDT_2012_ANNO,AAWDT_2013_ANNO,AAWDT_2014_ANNO,AAWDT_2015_ANNO,AAWDT_2016_ANNO,AAWDT_2017_ANNO,AAWDT_2018_ANNO,AAWDT_ANNO,MOTORCYCLE_AADT_ANNO,CAR_AADT_ANNO,BUS_AADT_ANNO,LIGHT_TRUCK_AADT_ANNO,SINGLE_UNIT_AADT_ANNO,COMBINATION_UNIT_AADT_ANNO,TRUCK_AADT_ANNO,longitude,latitude,_source_layer_title,_source_layer_url
197,S2006020045,2.0,Anne Arundel,0.0,None,Ramp 2 Fr Md 198 Wb To Md 295 Nb,RP,295.0,  ,0.1,0.0,0.31,Exit 2 Ramp 2 Fr Md 198 Wb To Md 295 Nb,Exit 2  Ramp 02 Laurel Ft Meade Rd To Baltimore Washington Pkwy,Urban,2.0,Principal Arterial Other Freeways and Expressways,02000RP00295  02NNMD2         02,02000RP00295--100202,2.0,North,1.0,F,0.0,12.45,100.0,100.0,0.0,0.0525,https://maps.roads.maryland.gov/itms_public/?stationid=S2006020045,,,430.0,431.0,432.0,440.0,451.0,462.0,463.0,464.0,,,460.0,471.0,462.0,470.0,481.0,492.0,503.0,494.0,,,,,,,NO ERROR,,,,,,,,,,,1,12.45,100,100,0,N/A,N/A,430,431,432,440,451,462,463,464,N/A,N/A,460,471,462,470,481,492,503,494,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.79773386024664,39.09677264293299,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
201,S2010020053,2.0,Anne Arundel,0.0,None,Ramp 7 Fr Ramp 2 (fr Md 32 Wb) To Md 170,RP,32.0,  ,0.03,0.0,0.06,Exit 5 Ramp 7 Fr Ramp 2 (fr Md 32 Wb) To Md 170 Sb,Exit 5  Ramp 07 Ramp 2 Fr Md 32 Wb To Md 170 Nb To Telegraph Rd,Urban,2.0,Principal Arterial Other Freeways and Expressways,02000RP00032  02WWMD5         07,02000RP00032--100507,2.0,West,2.0,F,0.0,15.96,100.0,0.0,100.0,0.0351,https://maps.roads.maryland.gov/itms_public/?stationid=S2010020053,1610.0,1621.0,1612.0,1623.0,1624.0,1675.0,1570.0,1611.0,1602.0,1603.0,1720.0,1751.0,1742.0,1753.0,1744.0,1795.0,1680.0,1721.0,1712.0,1703.0,,,,,,,NO ERROR,,,,,,,,,,,2,15.96,100,0,100,"1,610","1,621","1,612","1,623","1,624","1,675","1,570","1,611","1,602","1,603","1,720","1,751","1,742","1,753","1,744","1,795","1,680","1,721","1,712","1,703",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.69338662314355,39.101149864809,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
205,S2008020010,2.0,Anne Arundel,0.0,None,Severn Rd,CO,935.0,  ,0.1,0.0,1.77,Severn Rd - .10 Mile West Of Md 174,Reece Rd To Ridge Rd,Urban,5.0,Major Collector,02000CO00935  01WW**************,02000CO00935--1-----,1.0,East,3.0,F,0.0,9.28,51.99,49.32,50.68,5.921,https://maps.roads.maryland.gov/itms_public/?stationid=S2008020010,8032.0,8063.0,8004.0,8025.0,8630.0,8851.0,9022.0,9243.0,9164.0,9165.0,8592.0,8713.0,8644.0,8675.0,9230.0,9471.0,9652.0,9803.0,9714.0,10085.0,,,,,,,NO ERROR,,,,,,,,,,,3,9.28,51.99,49.32,50.68,"8,032","8,063","8,004","8,025","8,630","8,851","9,022","9,243","9,164","9,165","8,592","8,713","8,644","8,675","9,230","9,471","9,652","9,803","9,714","10,085",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.7008686677888,39.13479400115552,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
217,S2006020036,2.0,Anne Arundel,0.0,None,Guilford Rd,CO,6107.0,  ,0.46,0.35,0.64,Guilford Rd - North Of Roundabout/south Of Brockbridge Rd,Roundabout To Brock Bridge Rd,Urban,7.0,Local,02000CO06107  01NN**************,02000CO06107--1-----,1.0,South,3.0,F,0.0,10.02,79.59,47.6,52.4,0.8109,https://maps.roads.maryland.gov/itms_public/?stationid=S2006020036,,,12960.0,12991.0,12952.0,13293.0,13554.0,13885.0,7660.0,7661.0,,,14000.0,14031.0,13862.0,14223.0,14504.0,14725.0,8120.0,8431.0,,,,,,,NO ERROR,,,,,,,,,,,3,10.02,79.59,47.6,52.4,N/A,N/A,"12,960","12,991","12,952","13,293","13,554","13,885","7,660","7,661",N/A,N/A,"14,000","14,031","13,862","14,223","14,504","14,725","8,120","8,431",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.78677131638929,39.12354396737239,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
235,S2011020777,2.0,Anne Arundel,0.0,None,Millersville Rd,CO,1207.0,  ,1.51,0.0,1.63,Millersville Rd - .10 Mile East Of Md 3,Generals Hwy To Robert Crain Hwy,Urban,5.0,Major Collector,02000CO01207  01WW**************,02000CO01207--1-----,1.0,West,2.0,F,0.0,10.38,79.97,39.02,60.98,3.0652,https://maps.roads.maryland.gov/itms_public/?stationid=S2011020777,,5000.0,4961.0,4972.0,4963.0,5094.0,5195.0,5200.0,5151.0,5152.0,,5400.0,5361.0,5372.0,5313.0,5454.0,5575.0,5510.0,5461.0,5672.0,,,,,,,NO ERROR,,,,,,,,,,,2,10.38,79.97,39.02,60.98,N/A,"5,000","4,961","4,972","4,963","5,094","5,195","5,200","5,151","5,152",N/A,"5,400","5,361","5,372","5,313","5,454","5,575","5,510","5,461","5,672",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.65224907690286,39.05771181737907,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
237,S2011020783,2.0,Anne Arundel,0.0,None,Layton St                               ,CO,4093.0,  ,0.11,0.0,0.21,Layton St - Between Md 424 & Crofton Pkwy,Crofton Pkwy To Davidsonville Rd,Urban,5.0,Major Collector,02000CO04093  01EE**************,02000CO04093--1-----,1.0,West,2.0,F,0.0,9.92,51.08,50.31,49.69,0.1596,https://maps.roads.maryland.gov/itms_public/?stationid=S2011020783,,2020.0,2001.0,2012.0,2013.0,2074.0,2115.0,2100.0,2081.0,2082.0,,2180.0,2161.0,2172.0,2153.0,2224.0,2275.0,2230.0,2211.0,2292.0,,,,,,,NO ERROR,,,,,,,,,,,2,9.92,51.08,50.31,49.69,N/A,"2,020","2,001","2,012","2,013","2,074","2,115","2,100","2,081","2,082",N/A,"2,180","2,161","2,172","2,153","2,224","2,275","2,230","2,211","2,292",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.67496811183535,38.99913000829956,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
238,B0817,2.0,Anne Arundel,0.0,None,Davidsonville Rd,MD,424.0,  ,3.66,3.32,5.85,Md424-.30 Mi N Of Is595 (us50),Is 595  To Md 450,Rural,4.0,Minor Arterial,02000MD00424  01NN**************,02000MD00424--1-----,1.0,North,3.0,F,0.0,8.5,51.55,49.39,50.61,13.0788,https://maps.roads.maryland.gov/itms_public/?stationid=B0817,13870.0,13611.0,13642.0,13573.0,13564.0,13895.0,13770.0,14071.0,13992.0,14163.0,14560.0,14701.0,14462.0,14523.0,14384.0,14735.0,14730.0,14781.0,14692.0,14733.0,44.0,11496.0,2009.0,26.0,524.0,64.0,NO ERROR,588.0,0.89115646,0.10884354,0.00310669,0.81169244,0.14184848,0.00183577,0.03699781,0.00451882,0.04151663,3,8.5,51.55,49.39,50.61,"13,870","13,611","13,642","13,573","13,564","13,895","13,770","14,071","13,992","14,163","14,560","14,701","14,462","14,523","14,384","14,735","14,730","14,781","14,692","14,733",44,"11,496",26,"2,009",524,64,588,-76.65993910399425,38.963755079557785,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
248,B0844,2.0,Anne Arundel,0.0,None,No Name,MD,32.0,  ,5.68,4.54,6.08,Md32-.40 Mi S Of Md175,Md 170 To Md 175,Urban,2.0,Principal Arterial Other Freeways and Expressways,02000MD00032  01NN**************,02000MD00032--1-----,1.0,South,4.0,C,1.0,8.3,67.51,48.56,51.44,30.241,https://maps.roads.maryland.gov/itms_public/?stationid=B0844,45040.0,45221.0,44862.0,46940.0,46801.0,48022.0,52740.0,54011.0,53532.0,53800.0,48190.0,48841.0,48452.0,50700.0,50081.0,51382.0,56430.0,57791.0,57282.0,57030.0,,,,,,,NO ERROR,,,,,,,,,,,4,8.3,67.51,48.56,51.44,"45,040","45,221","44,862","46,940","46,801","48,022","52,740","54,011","53,532","53,800","48,190","48,841","48,452","50,700","50,081","51,382","56,430","57,791","57,282","57,030",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.71284173908566,39.09658467829279,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
258,S2008020035,2.0,Anne Arundel,0.0,None,Ramp 8 Fr Md 408 Sb To Ramp 1 (to Md 4),RP,4.0,  ,0.03,0.0,0.06,Exit 4 Ramp 8 Fr Md 408 Sb To Ramp 1 (to Md 4 Wb),Exit 4  Ramp 08 Fr Md 408 Sb To Ramp 1 (to Md 4),Urban,3.0,Principal Arterial Other,02000RP00004  02WWMD4         08,02000RP00004--100408,2.0,West,1.0,F,0.0,11.27,100.0,0.0,100.0,0.1273,https://maps.roads.maryland.gov/itms_public/?stationid=S2008020035,,,363.0,361.0,5390.0,5521.0,5642.0,5773.0,5744.0,5815.0,,,,386.0,5710.0,5851.0,6042.0,6063.0,6034.0,6055.0,,,,,,,NO ERROR,,,,,,,,,,,1,11.27,100,0,100,N/A,N/A,363,361,"5,390","5,521","5,642","5,773","5,744","5,815",N/A,N/A,N/A,386,"5,710","5,851","6,042","6,063","6,034","6,055",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.70384614098452,38.81103567717215,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
262,S2006020032,2.0,Anne Arundel,0.0,None,Ramp 7 Fr Ramp 2 (md32) To Guilford Rd,RP,32.0,  ,0.02,0.0,0.04,Exit 11 Ramp 7 Fr Ramp 2 (fr Md 32) To Guilford Rd,Exit 11 Ramp 07 Ramp 2 Fr Md 32 Wb To Guilford Rd To Guilford Rd,Urban,2.0,Principal Arterial Other Freeways and Expressways,02000RP00032  02EEMD11        07,02000RP00032--101107,2.0,East,1.0,F,0.0,18.7,100.0,100.0,0.0,0.0519,https://maps.roads.maryland.gov/itms_public/?stationid=S2006020032,454.0,465.0,3630.0,3641.0,3632.0,3420.0,3491.0,3582.0,3553.0,3554.0,494.0,505.0,3920.0,3931.0,3892.0,3660.0,3741.0,3832.0,3803.0,3774.0,,,,,,,NO ERROR,,,,,,,,,,,1,18.7,100,100,0,454,465,"3,630","3,641","3,632","3,420","3,491","3,582","3,553","3,554",494,505,"3,920","3,931","3,892","3,660","3,741","3,832","3,803","3,774",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.78455802383607,39.12262241157512,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
270,B0725,2.0,Anne Arundel,0.0,None,Bayard Rd,MD,422.0,  ,0.09,0.0,1.91,Md422-.10 Mi E Of Polling House Rd,Bayard Rd (back) To S. Polling House Rd,Rural,6.0,Minor Collector,02000MD00422  01EE**************,02000MD00422--1-----,1.0,East,2.0,F,0.0,8.45,56.36,50.46,49.54,0.4476,https://maps.roads.maryland.gov/itms_public/?stationid=B0725,583.0,610.0,611.0,612.0,613.0,634.0,655.0,630.0,631.0,642.0,613.0,660.0,651.0,662.0,653.0,674.0,715.0,670.0,671.0,682.0,7.0,317.0,210.0,3.0,97.0,8.0,NO ERROR,105.0,0.92380952,0.07619048,0.01090343,0.49376947,0.3271028,0.0046729,0.15109034,0.01246106,0.1635514,2,8.45,56.36,50.46,49.54,583,610,611,612,613,634,655,630,631,642,613,660,651,662,653,674,715,670,671,682,7,317,3,210,97,8,105,-76.66219123431044,38.84359749147387,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
