link_id,observed_volume,count_id,road_name,route_id,county
mdot_aadt_B0807_31,80250.00000000,B0807,Savage Rd,02000MD00032  01NN**************,Anne Arundel
mdot_aadt_S2012240213_32,4591.00000000,S2012240213,Walker Ave,03000CO01309  01EE**************,Baltimore
mdot_aadt_S2012011477_33,2521.00000000,S2012011477,Winston St,01041MU03935  01WW**************,Allegany
mdot_aadt_B1604_34,2021.00000000,B1604,Principio Furnace Rd,07000MD00007B 01NN**************,Cecil
mdot_aadt_S2010020159_35,333.00000000,S2010020159,Ramp 6 Fr Ramp 3(md100) To E Raynor Blvd,02000RP00100  02EEMD20        06,Anne Arundel
mdot_aadt_S2011040644_36,5432.00000000,S2011040644,Mt Harmony Rd,04000CO00133  01EE**************,Calvert
mdot_aadt_S2010030157_37,5003.00000000,S2010030157,Ramp 6 Fr Md151 Eb To Ramp 6(to Md157),03000RP00151  02SSMD6         06,Baltimore
mdot_aadt_V2013000129_38,2571.00000000,V2013000129,Ramp 3 Fr Stoney Run Rd Eb To Md 170 Nb,02000RP00573  02EECO1         03,Anne Arundel
mdot_aadt_S2006030057_39,9642.00000000,S2006030057,Ramp 1 Fr Md 139 Nb To Is 695 Wb,03000RP00695  02NNIS25        01,Baltimore
mdot_aadt_S2001030011_40,6121.00000000,S2001030011,Ramp 5 Fr Is 83 Sb To Is 695 Eb,03000RP00083  02SSIS13        05,Baltimore
mdot_aadt_B0711_41,3580.00000000,B0711,Friendship Rd,02000MD00261  01NN**************,Anne Arundel
mdot_aadt_V2017000911_42,87262.00000000,V2017000911,No Name,02000IS00097  01NN**************,Anne Arundel
mdot_aadt_V2013000109_43,3273.00000000,V2013000109,Ramp 8 Fr Catherine Ave Sb To Md 100 Wb,02000RP00100  02SSMD19        08,Anne Arundel
mdot_aadt_V2016000898_44,19650.00000000,V2016000898,Ramp 4 Fr Is 95 Nb To Md 43 Eb,03000RP00095  02NNIS67        04,Baltimore
mdot_aadt_S2017010209_45,1102.00000000,S2017010209,Beall St,01041MU00260  01EE**************,Allegany
mdot_aadt_S2011031012_46,2671.00000000,S2011031012,Beechfield Ave,03000CO02992  01WW**************,Baltimore
mdot_aadt_B060073_47,5150.00000000,B060073,E Green St,06155MU00210  01NN**************,Carroll
mdot_aadt_S2000020036_48,10864.00000000,S2000020036,Ramp 2 Fr Md 3 Wb To Md 997d Nb,02000RP00003  02NNMD7         02,Anne Arundel
mdot_aadt_S2000030157_49,9073.00000000,S2000030157,Ramp 2 Fr Is 195 Wb To Is 95 Nb,03000RP00095  02NNIS47        02,Baltimore
mdot_aadt_S1999030134_50,5843.00000000,S1999030134,Ramp 8 Fr Is 695 Sb To Us 40 Wb,03000RP00695  02SSIS15        08,Baltimore
mdot_aadt_S2004020049_51,7321.00000000,S2004020049,Ramp 8 Fr Bay Dale Dr Sb To Us 50 Wb,02000RP00050  02SSUS28        08,Anne Arundel
mdot_aadt_V2013000177_52,40881.00000000,V2013000177,Ramp 6 Fr Is 70 Eb To Is 695 Sb,03000RP00070  02SSIS91        06,Baltimore
mdot_aadt_S2004020027_53,313.00000000,S2004020027,Ramp 4 Fr Md 908d To Ramp 5 (to Us50 Eb),02000RP00050  02WWUS32        04,Anne Arundel
mdot_aadt_S2001030127_54,4173.00000000,S2001030127,Ramp 3 Fr Md 150 Eb To Md 702 Nb,03000RP00702  02SSMD1         03,Baltimore
mdot_aadt_S2000020111_55,4093.00000000,S2000020111,Ramp 8 Fr Is 97 Sb To Md 162a,02000RP00097  02NNIS15        08,Anne Arundel
mdot_aadt_S2012030011_56,3111.00000000,S2012030011,Old Battle Grove Rd,03000CO05558  01WW**************,Baltimore
mdot_aadt_S2018010233_57,1121.00000000,S2018010233,Old National Pike,01000MD00144  01EE**************,Allegany
mdot_aadt_B0966_58,32613.00000000,B0966,York Rd,03000MD00045  01NN**************,Baltimore
mdot_aadt_B1340_59,14812.00000000,B1340,Solomons Island Rd,04000MD00002  01NN**************,Calvert
mdot_aadt_B030008_60,5470.00000000,B030008,Timonium Rd,03000CO00810  01WW**************,Baltimore
mdot_aadt_B1113_61,188630.00000000,B1113,Balto Beltway,03000IS00695  01NN**************,Baltimore
mdot_aadt_B0583_62,20511.00000000,B0583,National Freeway,01000IS00068  01EE**************,Allegany
mdot_aadt_S2010010054_63,243.00000000,S2010010054,Ramp 5 Fr Is 68 Wb To Md 948am,01000RP00068  02NNIS56        05,Allegany
mdot_aadt_B010050_64,1825.00000000,B010050,Old National Pike,01000MD00743  01EE**************,Allegany
mdot_aadt_V2013000149_65,8903.00000000,V2013000149,Ramp 7 Fr Md 665 Wb To Riva Rd Sb,02000RP00665  02SSMD1         07,Anne Arundel
mdot_aadt_S2011020855_66,1810.00000000,S2011020855,North Shore Rd                          ,02000CO01975  01SS**************,Anne Arundel
mdot_aadt_B070021_67,715.00000000,B070021,Race St,07000CO00713  01NN**************,Cecil
mdot_aadt_S2011031015_68,11431.00000000,S2011031015,Maiden Choice La,03000CO02976  01WW**************,Baltimore
mdot_aadt_S2005030045_69,5563.00000000,S2005030045,Ramp 4 Fr Md 695 Nb To Md 702 Eb,03000RP00695  02EEMD36        04,Baltimore
mdot_aadt_S2011031026_70,7211.00000000,S2011031026,Essex Rd                                ,03000CO01901  01NN**************,Baltimore
mdot_aadt_B1449_71,14470.00000000,B1449,Shore Hwy,05000MD00404  01EE**************,Caroline
mdot_aadt_S2011030937_72,12952.00000000,S2011030937,Warren Rd,03000CO00360  01EE**************,Baltimore
mdot_aadt_B010039_73,1103.00000000,B010039,Bedford Rd,01000MD00807  01NN**************,Allegany
mdot_aadt_S2012030051_74,4341.00000000,S2012030051,Carroll Island Rd,03000CO04610  01SS**************,Baltimore
mdot_aadt_B1331_75,500.00000000,B1331,Governor Run Rd,04000MD00509  01EE**************,Calvert
mdot_aadt_S2009030080_76,4461.00000000,S2009030080,Gwynnbrook Ave,03000CO00587  01NN**************,Baltimore
mdot_aadt_S2012030185_77,4560.00000000,S2012030185,Campbell Blvd,03000CO08366  01NN**************,Baltimore
mdot_aadt_B0544_78,4444.00000000,B0544,Mt Savage Rd,01000MD00036  01NN**************,Allegany
mdot_aadt_S2010020049_79,1453.00000000,S2010020049,Ramp 8 Fr Md 32aa To Md 32 Wb,02000RP00032  02SSMD3         08,Anne Arundel
mdot_aadt_V2013000007_80,1371.00000000,V2013000007,Ramp 6 Fr Is 68 Eb To Md 36 Sb,01000RP00068  02EEIS34        06,Allegany
mdot_aadt_S2011030958_81,17721.00000000,S2011030958,Red Run Blvd,03000CO06779  01SS**************,Baltimore
mdot_aadt_S2000020002_82,17742.00000000,S2000020002,Ramp 2 Fr Is 695 Wb To Md 295 Nb,02000RP00695  02NNIS7         02,Anne Arundel
mdot_aadt_B020094_83,4262.00000000,B020094,Wb&a Rd,02000CO00910  01SS**************,Anne Arundel
mdot_aadt_V2013000306_84,32840.00000000,V2013000306,Ramp 4 Fr Is 795 Nb To Md 940 Eb,03000RP00795  02WWIS4         04,Baltimore
mdot_aadt_B020046_85,11292.00000000,B020046,Tyler Ave,02003MU03220  01NN**************,Anne Arundel
mdot_aadt_S2011090568_86,4412.00000000,S2011090568,Spring St,09019MU00020  01NN**************,Dorchester
mdot_aadt_S2012030068_87,4801.00000000,S2012030068,Hyde Park Rd,03000CO04779  01SS**************,Baltimore
mdot_aadt_B1431_88,2232.00000000,B1431,Sunset Ave,05072MU00215  01SS**************,Caroline
mdot_aadt_B1206_89,5042.00000000,B1206,Belfast Rd,03000CO00197  01WW**************,Baltimore
mdot_aadt_S2008030011_90,390.00000000,S2008030011,Ramp 8 Fr Is 83 Sb To Middletown Rd Wb,03000RP00083  02SSIS31        08,Baltimore
mdot_aadt_S2011020843_91,14682.00000000,S2011020843,Bay Dale Dr,02000CO04427  01SS**************,Anne Arundel
mdot_aadt_S2006010041_92,3461.00000000,S2006010041,Ramp 2 Fr Ramp 7 (fr Is 68) To Md 658,01000RP00068  02EEIS40        02,Allegany
mdot_aadt_S2017030279_93,1732.00000000,S2017030279,Chesapeake Ave W,03000CO01177  01WW**************,Baltimore
mdot_aadt_S2012021514_94,1531.00000000,S2012021514,River Rd,02000CO00005  01WW**************,Anne Arundel
mdot_aadt_B070009_95,5272.00000000,B070009,Augustine Herman Hwy,07000MD00213  01NN**************,Cecil
mdot_aadt_S2007020018_96,8932.00000000,S2007020018,Ramp 6 Fr Md 32 Eb To Md 295 Sb,02000RP00295  02SSMD4         06,Anne Arundel
mdot_aadt_B1976_97,9121.00000000,B1976,E Main St,10000MD00140  01NN**************,Frederick
mdot_aadt_S2015030252_98,724.00000000,S2015030252,Ramp 14 Md 43 Eb To Rp 13 (95 Sb Etl),03000RP00095  02SSIS67        14,Baltimore
mdot_aadt_S1998020079_99,493.00000000,S1998020079,Ramp 4 Fr Md 450 Nb To Is 595 Eb,02000RP00595  02NNIS22        04,Anne Arundel
mdot_aadt_B1437_100,5104.00000000,B1437,Preston Rd,05000MD00318  01EE**************,Caroline
mdot_aadt_V2013000189_101,4180.00000000,V2013000189,Ramp 8 Fr Is 83 Sb To Timonium Rd Wb,03000RP00083  02SSIS16        08,Baltimore
mdot_aadt_B0699_102,13830.00000000,B0699,Central Ave,02000MD00214  01EE**************,Anne Arundel
mdot_aadt_B2514_103,14022.00000000,B2514,Guilford Rd,02000CO06107  01NN**************,Anne Arundel
mdot_aadt_S2004020004_104,4033.00000000,S2004020004,Ramp 3 Fr Md 100 Eb To Md 100m Nb,02000RP00100  02SSMD8         03,Anne Arundel
mdot_aadt_B1019_105,22801.00000000,B1019,Charles St,03000MD00139  01NN**************,Baltimore
mdot_aadt_S2010010014_106,8070.00000000,S2010010014,Ramp 1 Fr Centre St To Ramp 8 (to Is 68),01000RP00068  02WWIS43B       01,Allegany
mdot_aadt_S2011031016_107,14231.00000000,S2011031016,Maiden Choice La                        ,03000CO02976  01WW**************,Baltimore
mdot_aadt_V2013000284_108,6743.00000000,V2013000284,Ramp 2 Fr Cove Rd Wb To Md 695 Nb,03000RP00695  02SSMD41        02,Baltimore
mdot_aadt_V2013000039_109,4473.00000000,V2013000039,Ramp 6 Fr Md 270 Eb To Md 10 Sb,02000RP00010  02SSMD5         06,Anne Arundel
mdot_aadt_B1197_110,29870.00000000,B1197,Balto Beltway,03000MD00695  01NN**************,Baltimore
mdot_aadt_S2011030463_111,2052.00000000,S2011030463,Ramp 2 Fr Edmondson Ave To Is 695 Nb,03000RP00695  02WWIS14        02,Baltimore
mdot_aadt_S2004020041_112,6461.00000000,S2004020041,Ramp 8 Fr Md 179 Sb To Us 50 Wb,02000RP00050  02SSUS29        08,Anne Arundel
mdot_aadt_V2013000168_113,1493.00000000,V2013000168,Ramp 6 Fr Md 43 Eb To Us 1 Sb,03000RP00043  02NNMD1         06,Baltimore
mdot_aadt_B020111_114,64.00000000,B020111,Deerwood Ct                             ,02000CO04732  01EE**************,Anne Arundel
mdot_aadt_V2013000297_115,2362.00000000,V2013000297,Ramp 1 Fr Is 695 Wb To Md 372 Wb,03000RP00695  02WWIS12B       01,Baltimore
mdot_aadt_S2010020089_116,10953.00000000,S2010020089,Ramp 6 Fr Md 3c Eb To Is 97 Sb,02000RP00097  02SSIS10        06,Anne Arundel
mdot_aadt_B1091_117,6364.00000000,B1091,Wilson Point Rd,03000MD00587  01NN**************,Baltimore
mdot_aadt_S2012030034_118,3231.00000000,S2012030034,Hamilton Ave                            ,03000CO04345  01SS**************,Baltimore
mdot_aadt_S2017040319_119,722.00000000,S2017040319,Rio Grande Tr,04000CO01311  01SS**************,Calvert
mdot_aadt_S2012031537_120,1011.00000000,S2012031537,Nicodemus Rd,03000CO00502  01WW**************,Baltimore
mdot_aadt_B0920_121,2681.00000000,B0920,North Point Rd,03000CO08008  01NN**************,Baltimore
mdot_aadt_S2010020078_122,5863.00000000,S2010020078,Ramp 5 Fr Md 10 Sb To Md 710 Eb,02000RP00010  02SSMD6         05,Anne Arundel
mdot_aadt_B0691_123,23261.00000000,B0691,Generals Hwy,02000MD00178  01NN**************,Anne Arundel
mdot_aadt_S2011020864_124,5292.00000000,S2011020864,Hospital Dr,02000CO01371  01EE**************,Anne Arundel
mdot_aadt_B1654_125,13281.00000000,B1654,Elkton Newark Rd,07000MD00279  01NN**************,Cecil
mdot_aadt_V2013000111_126,7163.00000000,V2013000111,Ramp 8 Fr Edwin Raynor Blvd To Md 100 Wb,02000RP00100  02SSMD20        08,Anne Arundel
mdot_aadt_S2013040191_127,2580.00000000,S2013040191,Emmanuel Church Rd,04000CO00035  01SS**************,Calvert
mdot_aadt_S2000020130_128,8932.00000000,S2000020130,Ramp 4 Fr Md 295 Nb To Ramp 9 (to Md100),02000RP00295  02NNMD9         04,Anne Arundel
mdot_aadt_S2006030058_129,4290.00000000,S2006030058,Ramp 2 Fr Is 695 Wb To Bellona Ave,03000RP00695  02WWIS25        02,Baltimore
mdot_aadt_B030082_130,3704.00000000,B030082,Monkton Rd,03000CO00229  01EE**************,Baltimore
mdot_aadt_V2016000903_131,1663.00000000,V2016000903,Ramp 8 Fr Is 95 Sb To Md 43 Wb,03000RP00095  02SSIS67        08,Baltimore
mdot_aadt_S2011020893_132,13461.00000000,S2011020893,8th Ave Nw,02000CO03616  01EE**************,Anne Arundel
mdot_aadt_B0670_133,12881.00000000,B0670,Fort Smallwood Rd,02000MD00173  01NN**************,Anne Arundel
mdot_aadt_S2012030175_134,6791.00000000,S2012030175,Bellona Ave,03000CO01142  01NN**************,Baltimore
mdot_aadt_S2011020903_135,4102.00000000,S2011020903,Stewart Ave,02000CO00605  01WW**************,Anne Arundel
mdot_aadt_V2013000286_136,1435.00000000,V2013000286,Ramp 6 Fr Cove Rd Eb To Md 695 Sb,03000RP00695  02NNMD41        06,Baltimore
mdot_aadt_V2013000038_137,3483.00000000,V2013000038,Ramp 6 Fr Md 648e Eb To Md 10 Sb,02000RP00010  02EEMD4         06,Anne Arundel
mdot_aadt_S2010030165_138,2943.00000000,S2010030165,Ramp 7 Fr Us 1 Wb To Is 195 Sb,03000RP00195  02SSIS3         07,Baltimore
mdot_aadt_V2013000121_139,8853.00000000,V2013000121,Ramp 4 Fr Md295 Nb To Arun Mills Blvd Eb,02000RP00295  02NNMD7         04,Anne Arundel
mdot_aadt_B030084_140,17153.00000000,B030084,Holabird Ave,03000CO05212  01WW**************,Baltimore
mdot_aadt_S1999030059_141,3350.00000000,S1999030059,Ramp 1 Fr Is 83 Nb To Greenspring Dr,03000RP00083  02EEIS16        01,Baltimore
mdot_aadt_B0706_142,2313.00000000,B0706,Deale Rd,02000MD00256  01EE**************,Anne Arundel
mdot_aadt_B020081_143,62250.00000000,B020081,Gov Ritchie Hwy,02000MD00002  01NN**************,Anne Arundel
mdot_aadt_V2013000091_144,3313.00000000,V2013000091,Ramp 8 Fr Is 97 Sb To Md 648e Wb,02000RP00097  02SSIS16        08,Anne Arundel
mdot_aadt_B020090_145,752.00000000,B020090,Sansbury Rd,02000CO03518  01WW**************,Anne Arundel
mdot_aadt_B0662_146,24862.00000000,B0662,Aviation Blvd,02000MD00170  01NN**************,Anne Arundel
mdot_aadt_S2002020101_147,14074.00000000,S2002020101,Ramp 6 Fr Md 100 Eb To Md 713 Sb,02000RP00100  02SSMD10        06,Anne Arundel
mdot_aadt_B020017_148,5561.00000000,B020017,Hammonds Ferry Rd,02000CO00017  01NN**************,Anne Arundel
mdot_aadt_V2013000285_149,1545.00000000,V2013000285,Ramp 4 Fr Md 695 Nb To Cove Rd Eb,03000RP00695  02NNMD41        04,Baltimore
mdot_aadt_V2013000117_150,7180.00000000,V2013000117,Ramp 4 Fr Md 295 Nb To Md 32 Eb,02000RP00295  02NNMD4         04,Anne Arundel
mdot_aadt_S2009030018_151,5384.00000000,S2009030018,Ramp 5 Fr Md 700 Sb To Md 150 Eb,03000RP00150  02SSMD5         05,Baltimore
mdot_aadt_S2002020037_152,6782.00000000,S2002020037,Ramp 1 Fr Md 295 Nb To Md 100 Wb,02000RP00295  02NNMD9         01,Anne Arundel
mdot_aadt_S2013030332_153,16160.00000000,S2013030332,Ramp 6 Fr Rp 3 (is 695 Eb) To Md 139 Sb,03000RP00695  02SSIS25        06,Baltimore
mdot_aadt_S2010030121_154,11040.00000000,S2010030121,Liberty Rd,03000RP00070  02SSIS94        03,Baltimore
mdot_aadt_P0066_155,49143.00000000,P0066,Metropolitan Blvd,02000IS00195  01NN**************,Anne Arundel
mdot_aadt_V2013000095_156,6493.00000000,V2013000095,Ramp 3 Fr Md 100 Eb To Md 100m Nb,02000RP00100  02SSMD8         03,Anne Arundel
mdot_aadt_S2012030018_157,12591.00000000,S2012030018,Lynch Rd                                ,03000CO05600  01SS**************,Baltimore
mdot_aadt_S2010010071_158,133.00000000,S2010010071,Ramp 7 Fr Ramp 2 (fr Is68) To Orleans Rd,01000RP00068  02WWIS68        07,Allegany
mdot_aadt_S2009030026_159,8413.00000000,S2009030026,Ramp 4 Fr Ramp 1 (fr Md 43) To Us 40 Eb,03000RP00040  02NNUS20        04,Baltimore
mdot_aadt_B040001_160,8432.00000000,B040001,H G Trueman Rd,04000MD00765Q 01NN**************,Calvert
mdot_aadt_S2013030249_161,1660.00000000,S2013030249,Rolling Rd S,03000CO07110  01NN**************,Baltimore
mdot_aadt_V2013000217_162,21430.00000000,V2013000217,Ramp 4 Fr Is 95 Nb To Is 695 Eb,03000RP00095  02EEIS49        04,Baltimore
mdot_aadt_S1999030128_163,5053.00000000,S1999030128,Ramp 2 Fr Us 40 Wb To Is 695 Nb,03000RP00695  02WWIS15        02,Baltimore
mdot_aadt_V2013000058_164,8861.00000000,V2013000058,Ramp 3 Fr Us 50 Eb To Ferguson Rd Nb,02000RP00050  02EEUS28        03,Anne Arundel
mdot_aadt_S2010030114_165,2773.00000000,S2010030114,Ramp 8 Fr Ramp 5 (fr Us 1) To Md 43 Wb,03000RP00043  02SSMD1         08,Baltimore
mdot_aadt_S2004020065_166,323.00000000,S2004020065,Ramp 5 Fr Ramp 6 (fr Us50) To Md 908c,02000RP00050  02NNUS30        03,Anne Arundel
mdot_aadt_S2001030126_167,9743.00000000,S2001030126,Ramp 5 Fr Md 702 Sb To Md 150 Eb,03000RP00702  02SSMD1         05,Baltimore
mdot_aadt_S2010020088_168,6253.00000000,S2010020088,Ramp 5 Fr Is 97 Sb To Md 3c Eb,02000RP00097  02SSIS10        05,Anne Arundel
mdot_aadt_B1042_169,23840.00000000,B1042,Dulaney Valley Rd,03000MD00146  01NN**************,Baltimore
mdot_aadt_V2013000161_170,12433.00000000,V2013000161,Ramp 1 Fr Md 43 Wb To Us 40 Wb,03000RP00040  02WWUS20        01,Baltimore
mdot_aadt_V2013000320_171,2313.00000000,V2013000320,Ramp 2 Fr Md 404 Wb To Md 313 Nb,05000RP00404  02NNMD7         02,Caroline
mdot_aadt_S2012030208_172,22091.00000000,S2012030208,Taylor Ave,03000CO03481  01WW**************,Baltimore
mdot_aadt_B2581_173,14424.00000000,B2581,Harbor Tunnel Thruway,03000IS00895  01NN**************,Baltimore
mdot_aadt_S2010010051_174,323.00000000,S2010010051,Ramp 5 Fr Is 68 Eb To Md 144,01000RP00068  02EEIS52        05,Allegany
mdot_aadt_S2006010020_175,971.00000000,S2006010020,Ramp 2 Fr Is 68 Wb To Md 736 Nb,01000RP00068  02NNIS33        02,Allegany
mdot_aadt_B1117_176,22132.00000000,B1117,Martin Blvd,03000MD00700  01NN**************,Baltimore
mdot_aadt_V2013000148_177,5583.00000000,V2013000148,Ramp 4 Fr Riva Rd Nb To Md 665 Eb,02000RP00665  02EEMD1         04,Anne Arundel
mdot_aadt_S2011020859_178,3732.00000000,S2011020859,Long Point Rd,02000CO01920  01EE**************,Anne Arundel
mdot_aadt_S2011070556_179,3012.00000000,S2011070556,Coudon Blvd,07000CO01011  01NN**************,Cecil
mdot_aadt_S2010020038_180,2642.00000000,S2010020038,Ramp 4 Fr Md 295 Nb To Md 32 Eb,02000RP00295  02NNMD4         04,Anne Arundel
mdot_aadt_B040014_181,2992.00000000,B040014,Bowie Shop Rd,04000CO00041  01EE**************,Calvert
mdot_aadt_B0528_182,1963.00000000,B0528,Oldtown Rd,01000MD00051  01EE**************,Allegany
mdot_aadt_S2010020161_183,5361.00000000,S2010020161,Ramp 7 Fr Stoney Run Rd To Ramp 3,02000RP00573  02SSCO1         07,Anne Arundel
mdot_aadt_B1433_184,6741.00000000,B1433,Bloomingdale Ave,05000MD00315  01EE**************,Caroline
mdot_aadt_B020023_185,25811.00000000,B020023,Bestgate Rd,02000CO02774  01WW**************,Anne Arundel
mdot_aadt_B2578_186,13240.00000000,B2578,Dorsey Rd,02000MD00103  01NN**************,Anne Arundel
mdot_aadt_V2013000104_187,8073.00000000,V2013000104,Ramp 4 Fr Oakwood Rd Nb To Md 100 Eb,02000RP00100  02NNMD15        04,Anne Arundel
mdot_aadt_B020016_188,9611.00000000,B020016,W Nursery Rd,02000CO00006  01WW**************,Anne Arundel
mdot_aadt_B060072_189,1220.00000000,B060072,Anchor St,06155MU00010  01SS**************,Carroll
mdot_aadt_S2015020232_190,44.00000000,S2015020232,Ramp 7 Fr Rp 2 (md 4 Wb) To Md 794 Sb,02000RP00004  02NNMD4         07,Anne Arundel
mdot_aadt_S1999030092_191,6941.00000000,S1999030092,Ramp 6 Fr Is 695 Eb To Md 140 Sb,03000RP00695  02NNIS20        06,Baltimore
mdot_aadt_S2010020117_192,6033.00000000,S2010020117,Ramp 2 Fr Arun Mills Blvd Wb To Md295 Nb,02000RP00295  02NNMD7         02,Anne Arundel
mdot_aadt_B1471_193,2143.00000000,B1471,Harmony Rd,05000MD00016  01EE**************,Caroline
mdot_aadt_S2005030093_194,972.00000000,S2005030093,Ramp 4 Fr Is 83 Nb To Belfast Rd Eb,03000RP00083  02NNIS24        04,Baltimore
mdot_aadt_S2011020362_195,6542.00000000,S2011020362,Jumpers Hole Rd,02000CO04505  01NN**************,Anne Arundel
mdot_aadt_S2012030211_196,11650.00000000,S2012030211,Umbc Blvd                               ,03000SR00086  01SS**************,Baltimore
mdot_aadt_S2000020121_197,6153.00000000,S2000020121,Ramp 9 Fr Md 162a To Is 97 Sb,02000RP00097  02NNIS15        09,Anne Arundel
mdot_aadt_B050007_198,505.00000000,B050007,Crouse Mill Rd,05000CO00075  01WW**************,Caroline
mdot_aadt_S2012031541_199,1381.00000000,S2012031541,Pikeswood Dr,03000CO02297  01NN**************,Baltimore
mdot_aadt_S2010010022_200,3780.00000000,S2010010022,Ramp 2 Fr Is 68 Wb To Maryland Ave,01000RP00068  02WWIS43D       02,Allegany
mdot_aadt_S2012030082_201,8321.00000000,S2012030082,King Ave,03000CO04189  01NN**************,Baltimore
mdot_aadt_V2013000282_202,15403.00000000,V2013000282,Ramp 6 Fr Md 695 Eb To Md 157 Sb,03000RP00695  02SSMD39        06,Baltimore
mdot_aadt_B030149_203,102.00000000,B030149,Hampshire Glen Ct,03000CO07146  01EE**************,Baltimore
mdot_aadt_B0938_204,34980.00000000,B0938,Liberty Rd,03000MD00026  01EE**************,Baltimore
mdot_aadt_V2013000020_205,1590.00000000,V2013000020,Ramp 4 Fr Md 639 Nb To Is 68 Eb,01000RP00068  02NNIS44        04,Allegany
mdot_aadt_S2012030008_206,2921.00000000,S2012030008,Beachwood Rd,03000CO05524  01NN**************,Baltimore
mdot_aadt_B0617_207,28372.00000000,B0617,Gov Ritchie Hwy,02000MD00002  01NN**************,Anne Arundel
mdot_aadt_S2013020237_208,340.00000000,S2013020237,Arundel Rd,02000CO01748  01SS**************,Anne Arundel
