pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
act_16---act_4	12	0	6	0	0	10	0	4	0	24	0	0	48
act_16---act_5	226	141	169	114	113	140	104	114	86	119	138	87	370
act_16---act_6	90	101	98	49	122	51	54	68	99	55	44	34	111
act_16---act_7	68	38	46	26	50	74	117	45	50	19	4	37	210
act_16---act_8	51	51	52	40	30	86	54	45	22	15	17	40	152
act_16---act_9	18	0	28	20	27	1	9	9	6	26	7	10	60
act_17---act_1	6	0	0	0	0	0	0	0	0	0	0	0	0
act_17---act_12	0	0	12	0	0	0	0	0	0	0	0	0	0
act_17---act_13	0	0	0	0	0	0	0	0	0	0	0	0	12
act_17---act_2	0	0	0	6	0	0	0	0	0	0	0	0	0
act_17---act_7	0	0	0	0	0	2	0	0	0	0	0	0	0
act_17---act_9	11	1	0	0	0	0	0	0	0	0	0	0	0
act_18---act_1	289	202	222	192	135	180	220	226	125	98	174	54	504
act_18---act_10	42	45	61	14	33	36	48	31	47	0	0	0	132
act_18---act_11	6	0	0	0	0	0	0	0	0	0	0	0	24
act_18---act_12	24	0	12	0	0	0	0	0	0	0	12	5	1
act_18---act_13	0	0	6	0	0	10	2	0	24	0	0	0	24
act_18---act_14	0	0	0	0	0	0	0	0	0	0	0	9	3
act_18---act_15	0	6	0	0	0	12	0	0	0	0	0	0	0
act_18---act_16	36	27	47	33	19	12	12	24	40	8	11	25	46
act_18---act_18	12	0	12	0	12	0	0	12	18	17	7	12	60
act_18---act_2	36	12	48	12	1	23	11	30	61	10	44	12	60
act_18---act_3	0	0	6	0	0	0	0	0	0	0	0	12	0
act_18---act_4	0	0	0	0	0	0	0	4	8	0	0	0	0
act_18---act_5	82	42	87	81	60	53	30	33	70	76	25	41	160
act_18---act_6	36	18	48	4	67	39	34	26	35	55	27	38	69
act_18---act_7	0	4	14	0	17	1	12	21	0	0	30	18	44
act_18---act_8	42	24	37	59	28	44	18	26	58	36	24	24	96
act_18---act_9	12	12	20	10	12	0	12	16	6	12	0	0	4
act_2---act_1	1541	1155	1841	1609	1741	1558	1369	1681	1250	939	980	933	4207
act_2---act_10	144	94	158	98	94	123	105	104	74	110	87	72	249
act_2---act_11	52	2	18	66	5	22	33	15	14	31	0	0	120
act_2---act_12	7	17	0	0	0	0	0	0	0	8	16	0	42
act_2---act_13	78	24	8	36	48	40	61	39	31	28	42	40	97
act_2---act_14	18	12	12	12	4	23	7	12	12	11	1	12	50
act_2---act_15	0	0	0	0	0	0	0	0	0	0	4	8	12
act_2---act_16	236	203	294	151	220	172	229	131	100	126	98	164	414
act_2---act_18	48	18	12	18	12	15	39	0	11	34	31	0	36
act_2---act_2	592	271	463	384	333	354	202	285	316	206	190	181	913
act_2---act_3	36	0	0	12	12	0	0	0	0	12	0	12	12
act_2---act_4	24	24	0	12	0	24	26	10	0	2	16	0	0
act_2---act_5	651	203	410	373	325	274	349	309	254	240	173	136	909
act_2---act_6	197	169	206	156	143	153	129	137	152	93	41	45	477
act_2---act_7	228	172	192	107	137	191	106	81	114	115	68	65	419
act_2---act_8	149	94	206	109	162	74	176	158	147	115	80	35	281
act_2---act_9	48	12	48	68	20	24	12	12	14	34	0	7	59
act_3---act_1	78	89	132	74	117	125	77	79	22	36	56	3	177
act_3---act_10	0	0	12	12	0	0	24	12	24	0	0	0	36
act_3---act_11	6	0	12	0	0	0	0	12	12	0	12	0	12
act_3---act_13	12	12	0	0	0	0	0	0	0	0	0	0	0
act_3---act_16	0	6	0	8	10	2	16	6	0	16	6	30	18
act_3---act_18	0	0	6	0	0	7	5	0	0	0	5	7	12
act_3---act_2	12	0	12	8	4	0	0	0	12	0	0	0	0
act_3---act_3	0	0	6	6	6	3	9	0	21	3	0	0	12
act_3---act_5	84	12	19	17	23	1	14	34	34	26	36	24	48
act_3---act_6	0	0	0	12	24	0	0	0	30	0	0	6	12
act_3---act_7	6	0	0	6	6	0	0	0	0	16	0	12	0
act_3---act_8	0	6	33	3	0	0	0	0	0	0	0	0	0
act_4---act_1	176	151	175	125	120	136	84	79	40	86	69	53	484
act_4---act_10	12	0	18	0	12	16	3	21	12	7	5	6	18
act_4---act_11	6	0	12	6	24	0	0	0	0	12	0	0	15
act_4---act_12	0	0	0	0	0	0	0	0	0	0	0	0	12
act_4---act_13	0	12	0	0	0	0	5	17	2	0	0	0	0
act_4---act_15	12	0	0	0	0	0	6	0	0	0	0	0	0
act_4---act_16	23	13	30	28	12	0	24	6	6	23	31	6	42
act_4---act_18	0	0	0	0	0	0	0	0	0	0	0	0	12
act_4---act_2	12	0	25	23	7	17	12	0	4	8	0	12	48
act_4---act_3	0	0	0	0	0	0	0	0	12	0	0	0	12
act_4---act_4	12	6	0	0	0	0	0	6	0	5	19	25	15
act_4---act_5	70	18	44	2	33	21	22	12	6	7	24	5	54
act_4---act_6	0	0	10	10	16	12	0	12	0	0	3	21	42
act_4---act_7	26	15	14	0	4	3	9	12	0	12	11	13	42
act_4---act_8	6	0	0	0	0	13	23	0	0	0	0	6	42
act_4---act_9	0	0	0	0	0	12	0	0	0	0	0	0	6
act_5---act_1	783	752	950	796	825	579	671	513	579	590	576	521	2138
act_5---act_10	42	6	16	12	13	27	2	18	0	6	0	15	33
act_5---act_11	48	22	64	16	12	22	8	0	30	12	28	18	40
act_5---act_12	0	24	0	18	6	0	12	0	0	0	0	0	0
act_5---act_13	17	9	14	34	10	0	0	0	0	0	9	27	12
act_5---act_14	0	0	6	6	4	26	0	12	0	0	0	12	10
act_5---act_15	0	12	0	0	0	0	0	0	0	0	0	0	0
act_5---act_16	49	62	25	63	14	24	11	23	15	67	21	35	130
act_5---act_18	12	24	30	0	8	22	0	6	5	19	32	4	36
act_5---act_2	140	41	74	59	58	57	99	24	36	0	12	0	90
act_5---act_3	18	0	8	16	0	0	0	0	24	0	0	0	24
act_5---act_4	0	0	0	0	0	0	0	0	0	0	0	0	24
act_5---act_5	427	254	267	164	165	172	154	164	115	167	136	101	421
act_5---act_6	54	27	41	8	15	39	24	27	27	9	18	0	52
act_5---act_7	85	75	60	12	95	49	21	12	24	41	70	44	149
act_5---act_8	36	51	9	4	26	12	0	9	15	12	16	32	66
act_5---act_9	12	17	1	0	2	21	13	12	12	0	0	12	30
act_6---act_1	179	307	287	213	240	290	266	126	140	225	166	106	758
act_6---act_10	4	12	12	0	12	2	10	0	0	0	12	0	24
act_6---act_11	12	0	0	0	0	0	18	0	9	3	0	0	24
act_6---act_12	0	0	0	0	7	5	0	12	0	0	0	0	6
act_6---act_13	12	6	0	0	4	0	0	0	0	0	0	0	12
act_6---act_14	0	0	4	0	0	12	0	0	0	0	0	0	6
act_6---act_15	0	0	0	0	0	0	0	0	0	0	4	8	0
act_6---act_16	24	6	6	0	0	0	0	28	0	0	0	12	6
act_6---act_18	0	0	0	0	0	0	0	0	0	0	0	0	12
act_6---act_2	60	44	38	78	70	79	76	61	37	52	70	25	144
act_6---act_3	12	12	0	12	0	0	0	0	0	0	0	0	16
act_6---act_5	21	27	28	4	48	20	42	30	22	26	12	12	61
act_6---act_6	32	13	17	16	4	9	23	0	12	0	0	1	23
act_6---act_7	24	0	0	6	0	6	6	0	0	0	0	0	0
act_6---act_8	9	9	0	0	0	6	0	0	0	0	0	0	12
act_6---act_9	12	19	5	24	12	0	0	6	0	0	0	0	12
act_7---act_1	245	294	344	319	371	369	316	186	196	252	204	153	817
act_7---act_10	28	14	6	0	0	19	15	8	0	12	0	0	48
act_7---act_11	0	0	0	2	10	0	0	3	4	12	12	0	12
act_7---act_12	12	0	2	10	0	6	0	0	0	0	0	0	36
act_7---act_13	0	12	0	5	24	19	0	12	0	0	6	0	16
act_7---act_14	0	16	8	0	15	13	0	0	0	0	0	1	11
act_7---act_15	0	6	6	5	7	9	3	6	0	0	0	0	6
act_7---act_16	52	42	4	37	23	0	24	0	0	24	0	0	40
act_7---act_18	0	0	12	12	0	0	0	0	0	0	0	0	0
act_7---act_2	92	64	67	45	94	55	53	15	70	63	38	24	144
act_7---act_3	12	12	0	0	0	17	7	0	12	0	0	0	0
act_7---act_4	0	12	0	0	0	0	0	0	0	0	0	0	0
act_7---act_5	132	110	32	40	17	100	45	31	62	88	86	42	175
act_7---act_6	12	6	0	0	0	0	12	6	0	0	0	4	2
act_7---act_7	44	26	30	14	24	21	5	18	13	23	0	17	53
act_7---act_8	0	0	9	12	3	4	26	24	12	13	5	0	12
act_7---act_9	30	0	6	12	6	12	0	17	1	0	0	12	6
act_8---act_1	137	250	182	143	122	216	155	210	141	241	107	63	590
act_8---act_10	6	3	15	6	12	0	29	7	12	6	0	0	12
act_8---act_12	0	0	0	0	0	0	0	0	0	0	0	0	6
act_8---act_13	0	0	0	0	2	10	0	12	0	0	0	0	12
act_8---act_14	0	0	0	0	0	0	0	0	0	2	0	0	12
act_8---act_15	0	0	0	0	0	0	0	0	0	0	0	12	0
act_8---act_16	12	1	17	12	0	24	12	12	0	12	0	0	6
act_8---act_18	12	0	0	0	0	0	0	0	0	0	0	0	0
act_8---act_2	36	0	16	44	12	0	0	27	21	23	25	4	68
act_8---act_4	0	0	0	0	12	0	0	0	0	0	6	6	0
act_8---act_5	84	36	18	12	27	69	65	16	79	44	12	24	108
act_8---act_6	0	0	0	0	12	0	0	0	11	1	0	0	36
act_8---act_8	0	0	2	13	0	0	0	0	12	0	6	0	36
act_8---act_9	0	0	0	0	12	0	0	0	0	0	0	0	12
act_9---act_1	232	192	179	150	240	186	130	138	147	83	85	123	493
act_9---act_10	69	39	12	0	9	15	18	12	36	0	24	12	36
act_9---act_11	18	0	12	0	0	12	12	0	0	0	0	0	0
act_9---act_12	0	0	0	0	0	0	6	6	0	0	0	0	0
act_9---act_13	0	17	7	0	0	0	0	0	0	0	0	0	0
act_9---act_14	0	0	0	0	0	0	0	0	0	0	0	4	0
act_9---act_16	29	29	20	30	18	24	0	6	7	3	0	4	60
act_9---act_18	12	0	9	3	0	0	0	0	0	0	0	0	12
act_9---act_2	24	0	24	24	0	24	0	24	13	47	22	10	16
act_9---act_3	0	0	12	0	0	0	0	0	0	0	0	0	0
act_9---act_5	102	118	72	26	68	83	88	108	83	89	74	67	224
act_9---act_6	34	24	67	51	0	6	31	43	54	46	18	0	103
act_9---act_7	12	18	48	0	30	46	36	15	37	12	11	49	43
act_9---act_8	12	13	50	18	12	10	30	42	18	30	24	0	84
act_9---act_9	4	12	29	1	13	23	12	0	0	12	0	24	36

average leg duration: 2297.8489967981945 seconds = 00:38:17
