pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
act_12---act_8	6	1	11	0	32	4	0	12	0	0	0	0	6
act_13---act_1	393	555	361	265	198	192	280	145	114	118	52	32	214
act_13---act_10	12	0	0	0	0	0	0	0	0	0	0	0	0
act_13---act_11	12	12	0	0	0	0	18	0	0	0	0	0	0
act_13---act_12	14	11	11	0	0	12	0	0	0	0	0	0	0
act_13---act_13	76	31	17	24	23	7	12	4	8	12	0	0	12
act_13---act_15	0	0	0	0	12	0	0	0	0	0	0	0	0
act_13---act_16	30	22	2	0	12	0	0	6	0	0	0	0	33
act_13---act_18	0	0	12	0	0	12	0	0	12	0	0	0	0
act_13---act_2	48	8	11	5	0	1	15	8	0	0	12	11	13
act_13---act_3	0	12	18	12	0	0	0	0	0	0	0	0	12
act_13---act_5	48	56	52	12	36	12	36	12	6	24	24	0	48
act_13---act_6	0	0	12	36	0	12	0	0	0	1	17	0	0
act_13---act_7	6	27	12	12	16	0	0	0	0	0	0	0	6
act_13---act_8	16	20	4	12	0	0	12	0	0	6	0	0	0
act_13---act_9	0	0	0	0	0	0	0	0	0	0	0	7	5
act_14---act_1	160	192	186	140	110	85	121	46	31	30	37	12	51
act_14---act_10	0	0	0	0	0	0	0	0	0	0	12	0	0
act_14---act_11	0	0	0	0	6	0	8	4	0	0	0	0	0
act_14---act_12	6	0	0	0	0	0	0	0	0	0	0	0	0
act_14---act_14	10	0	0	4	0	0	6	0	0	7	11	0	0
act_14---act_16	34	6	12	6	6	15	0	0	6	0	0	0	0
act_14---act_18	12	10	2	0	0	0	0	0	0	6	0	0	0
act_14---act_2	0	0	0	12	0	0	0	7	5	0	0	0	0
act_14---act_3	0	0	0	0	0	0	12	0	0	0	0	0	0
act_14---act_5	15	36	1	5	12	30	0	6	0	4	0	0	0
act_14---act_6	12	12	0	0	6	12	0	0	0	0	0	6	0
act_14---act_7	0	0	18	0	0	0	0	0	0	0	0	0	4
act_15---act_1	28	30	51	27	62	24	6	28	0	4	12	12	24
act_15---act_11	0	0	0	0	6	0	0	0	6	0	0	0	0
act_15---act_16	4	12	0	0	0	0	0	0	0	0	0	0	0
act_15---act_2	0	0	6	0	0	0	0	0	0	6	0	0	0
act_15---act_5	0	0	0	0	0	6	0	0	0	0	0	0	0
act_15---act_6	0	0	0	6	0	0	0	0	0	0	0	0	0
act_15---act_7	6	0	0	0	0	0	0	0	0	0	0	0	0
act_15---act_8	0	0	0	0	0	3	0	12	0	0	0	0	0
act_16---act_1	1733	1790	1170	918	760	569	553	523	318	267	158	185	577
act_16---act_10	65	15	33	5	9	13	12	0	6	0	24	0	18
act_16---act_11	27	10	27	35	12	4	9	0	6	12	6	0	6
act_16---act_12	27	15	5	18	6	0	0	0	0	0	0	0	0
act_16---act_13	37	28	31	0	18	0	6	8	10	0	12	0	0
act_16---act_14	6	0	4	6	4	8	18	3	0	0	0	0	9
act_16---act_15	0	0	0	0	10	0	0	0	0	0	0	0	0
act_16---act_16	484	409	215	231	157	133	132	70	69	49	47	16	78
act_16---act_18	12	11	35	11	10	12	16	4	6	0	3	0	0
act_16---act_2	280	240	418	357	308	227	205	128	41	47	79	41	109
act_16---act_3	12	0	12	0	0	0	0	0	0	6	12	0	0
act_16---act_4	38	37	6	18	4	0	12	0	0	0	0	0	10
act_16---act_5	234	218	163	115	71	43	52	63	62	31	37	18	28
act_16---act_6	40	19	55	30	43	33	0	25	8	6	4	0	24
act_16---act_7	102	69	68	36	22	3	0	18	6	0	6	0	14
act_16---act_8	18	4	12	12	3	0	0	0	0	6	0	0	12
act_16---act_9	6	24	40	0	33	14	8	10	4	26	0	0	0
act_17---act_17	12	0	0	0	0	0	0	0	0	0	0	0	0
act_18---act_1	326	251	190	157	131	122	122	34	94	55	50	49	144
act_18---act_10	12	48	18	6	12	0	0	0	12	0	0	0	6
act_18---act_11	12	0	0	6	3	9	2	0	0	0	0	0	12
act_18---act_12	12	0	11	13	0	12	6	0	0	0	0	0	0
act_18---act_13	12	0	0	0	0	12	6	0	0	0	0	0	0
act_18---act_14	12	3	10	2	12	0	0	13	3	0	12	0	0
act_18---act_16	19	39	7	10	0	4	12	0	0	0	0	0	12
act_18---act_18	42	12	0	12	24	6	12	16	20	0	0	12	12
act_18---act_2	114	42	24	89	7	80	28	9	27	36	24	18	0
act_18---act_3	12	21	12	0	7	5	0	0	12	0	0	0	0
act_18---act_4	0	12	0	18	0	0	0	0	0	0	0	0	0
act_18---act_5	132	147	76	90	25	54	91	30	36	15	13	24	84
act_18---act_6	12	0	0	6	12	0	12	0	0	11	1	0	12
act_18---act_7	4	8	0	3	0	0	12	0	6	0	0	3	9
act_18---act_8	0	0	0	0	12	8	0	12	12	0	0	12	12
act_18---act_9	0	0	3	21	0	7	17	12	12	0	4	14	0
act_2---act_1	1805	2051	2633	2539	2872	2111	1981	1526	1056	884	586	519	1790
act_2---act_10	62	87	83	112	40	85	26	64	47	6	0	30	36
act_2---act_11	47	45	10	54	12	20	16	14	22	21	15	0	36
act_2---act_12	12	21	37	14	0	24	16	8	0	0	0	0	12
act_2---act_13	96	42	30	20	75	66	37	0	0	25	30	17	12
act_2---act_14	42	0	0	6	0	6	18	0	0	4	0	0	0
act_2---act_15	0	12	0	0	0	0	2	10	0	0	12	0	0
act_2---act_16	254	217	335	241	169	191	123	99	69	58	30	6	96
act_2---act_18	42	36	18	36	48	14	22	12	0	10	6	0	42
act_2---act_2	467	248	294	291	232	160	144	95	73	138	105	39	102
act_2---act_3	32	28	24	18	23	1	0	0	0	12	12	0	12
act_2---act_4	18	12	0	24	36	12	12	0	0	0	0	0	12
act_2---act_5	622	430	304	360	348	338	230	136	92	104	77	88	165
act_2---act_6	181	127	88	120	152	36	90	46	48	24	12	0	24
act_2---act_7	203	85	172	131	121	137	87	61	93	11	4	20	100
act_2---act_8	54	50	47	50	123	35	42	85	84	0	35	13	30
act_2---act_9	79	12	41	51	75	12	40	32	12	12	0	0	18
act_3---act_1	288	195	130	96	113	74	92	102	33	21	70	49	131
act_3---act_10	0	18	12	0	0	0	0	0	0	0	0	0	0
act_3---act_11	14	0	0	0	0	0	0	0	0	0	0	6	0
act_3---act_12	12	0	0	0	0	12	0	0	0	0	0	0	0
act_3---act_14	0	0	0	0	0	0	0	0	0	0	0	0	12
act_3---act_15	0	0	0	0	0	0	3	0	0	0	0	2	0
act_3---act_16	12	12	20	27	1	12	0	12	0	0	0	0	6
act_3---act_17	0	0	0	0	0	0	0	0	12	0	0	0	0
act_3---act_18	6	12	4	12	12	0	0	0	0	9	3	0	0
act_3---act_2	12	0	5	7	0	0	0	0	0	0	0	0	0
act_3---act_3	36	12	24	2	10	12	8	4	12	28	0	12	0
act_3---act_5	70	62	44	41	16	15	21	24	12	0	0	9	21
act_3---act_6	12	0	12	0	0	0	0	0	0	0	12	0	0
act_3---act_7	9	15	0	0	4	0	0	0	12	0	0	0	0
act_3---act_8	12	0	0	11	1	4	8	0	0	0	0	0	12
act_3---act_9	12	0	0	0	0	0	0	0	0	0	0	0	0
act_4---act_1	252	356	236	170	190	190	121	121	72	51	55	19	174
act_4---act_10	0	3	21	12	0	0	0	0	0	0	0	0	0
act_4---act_11	35	1	12	0	0	0	0	0	12	0	0	0	0
act_4---act_12	12	6	0	0	0	12	0	0	0	0	12	0	0
act_4---act_13	0	21	3	0	0	0	0	0	0	0	0	0	0
act_4---act_14	12	0	0	0	0	0	0	0	0	0	0	0	0
act_4---act_15	6	0	0	0	0	0	0	0	0	0	0	0	0
act_4---act_16	24	14	12	0	12	0	0	12	0	12	0	6	12
act_4---act_18	0	0	6	0	0	0	0	0	0	0	1	5	0
act_4---act_2	0	0	12	18	6	25	11	12	0	0	0	0	0
act_4---act_4	42	36	24	10	26	6	12	12	12	18	0	0	0
act_4---act_5	36	12	12	12	18	0	36	6	12	0	0	4	14
act_4---act_6	24	6	22	17	0	4	6	12	0	12	0	24	30
act_4---act_7	51	14	25	0	0	17	1	6	9	9	0	0	6
act_4---act_8	12	0	0	24	0	0	0	0	0	0	0	0	0
act_4---act_9	0	2	10	0	0	0	6	0	0	0	0	0	0
act_5---act_1	2418	2672	1842	1517	1124	1177	904	682	519	530	346	383	1358
act_5---act_10	84	42	36	23	34	8	35	23	3	9	0	22	56
act_5---act_11	63	66	57	0	12	12	18	21	1	6	0	0	24
act_5---act_12	24	0	8	10	0	0	0	0	0	0	0	13	35
act_5---act_13	9	24	12	0	10	9	3	0	0	0	0	0	12
act_5---act_14	0	0	0	0	12	0	0	24	3	0	0	0	6
act_5---act_16	144	181	87	39	50	0	54	34	28	7	12	6	66
act_5---act_18	78	48	28	32	4	20	12	5	19	12	12	18	66
act_5---act_2	60	18	35	44	63	84	16	8	21	15	24	28	20
act_5---act_3	16	0	0	0	12	4	0	12	0	0	0	0	0
act_5---act_4	0	0	0	0	4	0	0	0	0	0	0	0	0
act_5---act_5	718	466	296	212	233	201	185	179	156	136	121	68	241
act_5---act_6	71	43	60	30	24	24	2	46	28	14	0	36	30
act_5---act_7	167	56	56	35	32	40	0	30	39	19	0	12	48
act_5---act_8	132	58	60	0	12	10	18	20	24	9	21	0	72
act_5---act_9	0	2	13	12	12	12	0	0	0	0	12	0	0
act_6---act_1	375	502	299	310	293	223	116	131	99	58	77	61	326
act_6---act_10	0	30	0	0	0	12	0	0	0	0	0	0	0
act_6---act_11	14	14	0	0	6	0	0	0	0	0	0	0	0
act_6---act_12	12	0	0	0	0	0	12	0	0	0	0	0	0
act_6---act_13	0	6	0	0	0	0	0	0	0	0	0	0	0
act_6---act_14	0	0	0	0	1	11	0	0	0	0	0	0	0
act_6---act_15	0	0	0	0	0	0	0	0	6	0	0	0	0
act_6---act_16	32	2	29	1	12	12	0	0	11	1	0	12	12
act_6---act_18	12	0	0	0	0	0	0	0	0	0	0	0	12
act_6---act_2	172	139	112	46	100	37	59	88	12	39	32	49	63
act_6---act_3	6	12	0	0	0	12	0	0	0	0	0	12	0
act_6---act_4	0	12	0	0	0	0	0	0	0	0	0	0	0
act_6---act_5	55	56	18	24	12	18	0	0	12	20	4	18	12
act_6---act_6	45	15	8	24	0	0	12	0	0	8	4	0	18
act_6---act_7	0	0	0	0	0	0	0	0	0	0	4	0	0
act_6---act_8	6	12	0	0	0	0	0	0	0	0	0	0	0
act_6---act_9	12	6	6	0	0	0	0	0	0	0	0	0	0
act_7---act_1	325	621	329	416	344	292	125	287	156	96	104	104	210
act_7---act_10	24	14	4	6	15	10	8	0	0	2	10	0	0
act_7---act_11	12	0	0	0	6	12	4	30	0	0	6	18	0
act_7---act_12	12	0	0	0	0	0	0	0	0	0	0	0	0
act_7---act_13	24	18	0	6	6	12	0	24	1	11	0	0	0
act_7---act_14	0	0	12	0	5	19	6	6	0	0	0	0	6
act_7---act_15	0	0	10	2	0	0	4	0	0	0	0	0	12
act_7---act_16	40	43	36	26	35	27	22	6	0	0	0	6	18
act_7---act_18	0	0	0	0	0	28	0	0	0	0	0	0	0
act_7---act_2	117	99	166	91	126	79	50	27	82	15	17	12	72
act_7---act_3	12	0	12	0	0	0	0	23	1	0	0	0	0
act_7---act_4	12	0	12	0	6	0	0	0	0	0	0	0	12
act_7---act_5	99	97	68	103	41	15	81	58	23	7	8	46	42
act_7---act_6	0	18	0	0	0	0	0	0	0	0	0	10	0
act_7---act_7	80	32	64	23	47	7	12	58	4	18	0	0	30
act_7---act_8	18	0	6	12	4	0	12	0	0	0	0	0	0
act_7---act_9	6	36	12	12	0	0	19	5	0	0	0	6	0
act_8---act_1	312	271	147	164	130	153	75	117	106	98	36	48	132
act_8---act_10	12	12	0	12	0	0	10	14	12	0	12	0	0
act_8---act_11	0	0	0	0	0	0	0	12	0	0	0	0	12
act_8---act_12	10	2	0	0	0	0	0	0	0	0	0	12	0
act_8---act_13	12	0	0	0	0	0	0	0	0	0	12	12	0
act_8---act_14	0	0	0	0	0	0	6	0	0	0	0	0	0
act_8---act_15	0	0	4	0	0	0	0	0	0	0	0	0	0
act_8---act_16	28	0	0	8	4	24	0	0	0	12	24	0	0
act_8---act_18	12	0	12	0	0	0	19	5	6	0	0	0	12
act_8---act_2	130	26	77	49	64	20	36	52	32	36	0	24	24
act_8---act_3	0	12	0	0	0	12	0	0	0	0	12	0	0
act_8---act_4	0	0	9	3	0	0	0	0	0	0	0	0	0
act_8---act_5	138	87	47	67	53	43	19	38	22	22	22	16	36
act_8---act_6	18	4	0	0	0	0	0	0	0	0	0	0	0
act_8---act_7	0	0	12	0	0	6	0	0	0	0	0	0	0
act_8---act_8	6	0	12	0	0	36	27	15	0	0	0	0	0
act_8---act_9	18	0	0	0	0	0	24	0	4	12	0	0	0
act_9---act_1	161	239	212	186	232	183	150	51	102	39	38	16	54
act_9---act_10	48	18	12	0	0	0	12	0	0	2	10	12	0
act_9---act_11	12	0	6	6	7	5	0	0	0	0	0	0	0
act_9---act_12	0	0	0	0	8	4	0	0	0	0	12	0	0
act_9---act_13	0	0	0	9	3	0	0	0	0	0	0	0	0
act_9---act_14	0	0	0	0	0	0	0	12	0	0	0	4	0
act_9---act_16	47	16	0	12	9	15	0	18	0	18	0	0	4
act_9---act_18	0	0	12	0	0	0	0	6	0	12	0	0	0
act_9---act_2	12	7	17	12	12	19	41	12	6	0	12	12	12
act_9---act_3	12	0	0	0	0	0	0	0	0	0	0	0	0
act_9---act_4	0	0	0	0	0	12	0	0	0	0	0	0	0
act_9---act_5	56	23	17	67	24	27	39	7	31	12	30	17	73
act_9---act_6	32	4	4	8	0	0	0	0	0	0	0	0	0
act_9---act_7	57	7	3	0	8	22	1	8	0	0	8	4	0
act_9---act_8	12	6	12	0	12	0	0	0	0	0	0	0	0
act_9---act_9	19	7	22	24	12	12	0	12	0	6	0	16	12

average leg duration: 1483.253224736493 seconds = 00:24:43
