OBJECTID,LOCATION_ID,COUNTY_ID,COUNTY_DESC,MUN_SORT,MUNICIPALITY,ROADNAME,ID_PREFIX,ID_RTE_NO,MP_SUFFIX,ID_MP,BEGIN_SECTION,END_SECTION,STATION_DESC,ROAD_SECTION,RURAL_URBAN,F_SYSTEM,F_SYSTEM_DESC,ROUTEID,ROUTEID_RH,MAIN_LINE,PEAK_HOUR_DIRECTION,NUM_LANES,COUNTED_FACTORED,STMP_SEQ,K_FACTOR,D_FACTOR,NORTH_EAST_SPLIT,SOUTH_WEST_SPLIT,AVMT,LINK,AADT_2010,AADT_2011,AADT_2012,AADT_2013,AADT_2014,AADT_2015,AADT_2016,AADT_2017,AADT_2018,AADT,AAWDT_2010,AAWDT_2011,AAWDT_2012,AAWDT_2013,AAWDT_2014,AAWDT_2015,AAWDT_2016,AAWDT_2017,AAWDT_2018,AAWDT,MOTORCYCLE_AADT,CAR_AADT,LIGHT_TRUCK_AADT,BUS_AADT,SINGLE_UNIT_AADT,COMBINATION_UNIT_AADT,LOC_ERROR,Shape_Length0,TRUCK_AADT,SUTRUCK_AADT_PCT_TRUCK,CUTRUCK_AADT_PCT_TRUCK,MCYCLE_AADT_PCT_OVERALL,CAR_AADT_PCT_OVERALL,LIGHT_TRUCK_AADT_PCT_OVERALL,BUS_AADT_PCT_OVERALL,SUTRUCK_AADT_PCT_OVERALL,CUTRUCK_AADT_PCT_OVERALL,TRUCK_AADT_PCT_OVERALL,NUM_LANES_ANNO,K_FACTOR_ANNO,D_FACTOR_ANNO,NORTH_EAST_SPLIT_ANNO,SOUTH_WEST_SPLIT_ANNO,AADT_2010_ANNO,AADT_2011_ANNO,AADT_2012_ANNO,AADT_2013_ANNO,AADT_2014_ANNO,AADT_2015_ANNO,AADT_2016_ANNO,AADT_2017_ANNO,AADT_2018_ANNO,AADT_ANNO,AAWDT_2010_ANNO,AAWDT_2011_ANNO,AAWDT_2012_ANNO,AAWDT_2013_ANNO,AAWDT_2014_ANNO,AAWDT_2015_ANNO,AAWDT_2016_ANNO,AAWDT_2017_ANNO,AAWDT_2018_ANNO,AAWDT_ANNO,MOTORCYCLE_AADT_ANNO,CAR_AADT_ANNO,BUS_AADT_ANNO,LIGHT_TRUCK_AADT_ANNO,SINGLE_UNIT_AADT_ANNO,COMBINATION_UNIT_AADT_ANNO,TRUCK_AADT_ANNO,Shape.STLength(),_source_layer_title,_source_layer_url,COUNTY,DISTRICT,TSD_ID,OBJECTID_1,COUNTY_FIP,COUNTYNUM,Shape.STArea(),CUTRUCK__AADT_PCT_TRUCK,longitude,latitude,Shape__Length,AADT_2019,AAWDT_2019,AADT_2020,AAWDT_2020,AADT_2021,AAWDT_2021,AADT_2022,AAWDT_2022,GlobalID,AADT_2023,AAWDT_2023
3194,S2012151284,15.0,Montgomery,0.0,None,Ramp 8 Fr Us 29 Sb To Md 200 Wb,RP,200.0,  ,0.17,0.0,0.55,Exit 16 Ramp 8 Fr Us 29 Sb To Md 200 Wb,Exit 16 Ramp 08 Us 29 Sb To Md 200 Wb,Urban,2.0,Principal Arterial Other Freeways and Expressways,15000RP00200  02SSMD16        08,15000RP00200--101608,2.0,West,1.0,F,0.0,10.37,100.0,0.0,100.0,1.0644,https://maps.roads.maryland.gov/itms_public/?stationid=S2012151284,,,2890.0,2901.0,4840.0,4971.0,5072.0,5350.0,5301.0,5302.0,,,3120.0,3131.0,5180.0,5321.0,5432.0,5730.0,5671.0,5622.0,,,,,,,NO ERROR,2949.40122908,,,,,,,,,,,1,10.37,100,0,100,N/A,N/A,"2,890","2,901","4,840","4,971","5,072","5,350","5,301","5,302",N/A,N/A,"3,120","3,131","5,180","5,321","5,432","5,730","5,671","5,622",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1157.7697217481348,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
3198,S2000150127,15.0,Montgomery,0.0,None,Ramp 6 Fr Md 190 To Ramp 11 (to Is495x),RP,495.0,  ,0.1,0.0,0.2,Exit 39 Ramp 6 Fr Md 190 Eb To Ramp 11 (to Is 495 Sb),Exit 39 Ramp 06 River Rd To Ramp 11 Fr Is 495 Sb To Is 495x Sb,Urban,1.0,Interstate,15000RP00495  02SSIS39        06,15000RP00495--103906,2.0,South,1.0,F,0.0,12.38,100.0,0.0,100.0,0.3972,https://maps.roads.maryland.gov/itms_public/?stationid=S2000150127,5244.0,5255.0,4920.0,4961.0,4962.0,5083.0,5194.0,5325.0,5400.0,5441.0,5564.0,5575.0,5220.0,5261.0,5212.0,5343.0,5454.0,5545.0,5620.0,5661.0,,,,,,,NO ERROR,1227.65617836,,,,,,,,,,,1,12.38,100,0,100,"5,244","5,255","4,920","4,961","4,962","5,083","5,194","5,325","5,400","5,441","5,564","5,575","5,220","5,261","5,212","5,343","5,454","5,545","5,620","5,661",N/A,N/A,N/A,N/A,N/A,N/A,N/A,481.91699417403424,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
3200,B2834,15.0,Montgomery,0.0,None,University Blvd E,MD,193.0,  ,4.81,4.32,4.91,Md193-.10 Mi W Of Is495,Us 29 To Is 495,Urban,3.0,Principal Arterial Other,15000MD00193  01EE**************,15000MD00193--1-----,1.0,East,7.0,F,1.0,8.31,51.8,51.24,48.76,8.5819,https://maps.roads.maryland.gov/itms_public/?stationid=B2834,36051.0,36202.0,36120.0,36191.0,36082.0,37600.0,38311.0,39232.0,39850.0,39851.0,38581.0,39102.0,39010.0,39091.0,38612.0,40230.0,40991.0,41982.0,42640.0,42241.0,119.0,34008.0,3976.0,244.0,1130.0,374.0,NO ERROR,3080.75195147,1504.0,0.75132979,0.24867021,0.00298612,0.85337884,0.09977165,0.00612281,0.02835562,0.00938496,0.03774058,7,8.31,51.8,51.24,48.76,"36,051","36,202","36,120","36,191","36,082","37,600","38,311","39,232","39,850","39,851","38,581","39,102","39,010","39,091","38,612","40,230","40,991","41,982","42,640","42,241",119,"34,008",244,"3,976","1,130",374,1504,1208.9563792934466,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
3204,V2013000686,16.0,Prince George's,0.0,None,Ramp 2 Fr Md 450 Wb To Is 95 Nb,RP,95.0,  ,-1.0,0.07,0.22,Calculated Location,Exit 20 Ramp 02 Ramp 3 Fr Md 450 Eb To Ramp 2 (to Is 95) To Capital Beltway,Urban,1.0,Interstate,16000RP00095  02EEIS20        02,16000RP00095--102002,2.0,,1.0,F,0.0,,,,,0.6221,CALCULATED LOCATION,,,,,,,,,11262.0,11363.0,,,,,,,,,11722.0,11823.0,,,,,,,NO ERROR,882.35966936,,,,,,,,,,,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"11,262","11,363",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"11,722","11,823",N/A,N/A,N/A,N/A,N/A,N/A,N/A,346.1500756794379,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
3205,S2009150021,15.0,Montgomery,0.0,None,Ramp 1 Fr Ramp 8 (fr Is270) To Md 124 Eb,RP,270.0,  ,0.02,0.0,0.03,Exit 11 Ramp 1 Fr Ramp 8 (fr Is 270) To Md 124 Eb,Exit 11 Ramp 01 Ramp 8 Fr Is 270 Sb To Md 124 Wb To Quince Orchard Rd,Urban,1.0,Interstate,15000RP00270  02SSIS11        01,15000RP00270--101101,2.0,East,2.0,F,0.0,7.12,100.0,100.0,0.0,0.0998,https://maps.roads.maryland.gov/itms_public/?stationid=S2009150021,11451.0,11462.0,11523.0,11634.0,11625.0,8700.0,8881.0,9092.0,9043.0,9114.0,12141.0,12152.0,12213.0,12334.0,12215.0,9140.0,9331.0,9462.0,9413.0,9484.0,,,,,,,NO ERROR,199.42677985,,,,,,,,,,,2,7.12,100,100,0,"11,451","11,462","11,523","11,634","11,625","8,700","8,881","9,092","9,043","9,114","12,141","12,152","12,213","12,334","12,215","9,140","9,331","9,462","9,413","9,484",N/A,N/A,N/A,N/A,N/A,N/A,N/A,78.43056955811338,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
3207,S2005150093,15.0,Montgomery,0.0,None,Ramp 3 Fr Ramp 6 (fr Is270) To Md 187b,RP,270.0,  ,0.01,0.0,0.026,Exit 1b Ramp 3 Fr Ramp 6 (fr Is 270 Eb) To Md 187b Nb,Exit 1b Ramp 03 Ramp 6 Fr Is 270 Eb To Md 187b Sb To Rockledge Blvd,Urban,1.0,Interstate,15000RP00270  02SSIS1B        03,15000RP00270--101B03,2.0,South,2.0,F,0.0,9.16,100.0,0.0,100.0,0.0538,https://maps.roads.maryland.gov/itms_public/?stationid=S2005150093,,5840.0,7210.0,7281.0,7272.0,7453.0,7614.0,5660.0,5631.0,5672.0,,6190.0,7640.0,7721.0,7642.0,7833.0,8004.0,5890.0,5861.0,5902.0,,,,,,,NO ERROR,144.03990587,,,,,,,,,,,2,9.16,100,0,100,N/A,"5,840","7,210","7,281","7,272","7,453","7,614","5,660","5,631","5,672",N/A,"6,190","7,640","7,721","7,642","7,833","8,004","5,890","5,861","5,902",N/A,N/A,N/A,N/A,N/A,N/A,N/A,56.459046714366494,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
3211,S2000150031,15.0,Montgomery,0.0,None,Ramp 7 Fr Shady Grove Rd Wb To Is 270 Sb,RP,270.0,  ,0.08,0.0,0.26,Exit 8 Ramp 7 Fr Shady Grove Rd Wb To Is 270 Sb,Exit 8  Ramp 07 Shady Grove Rd To Eisenhower Memorial Hwy,Urban,1.0,Interstate,15000RP00270  02SSIS8         07,15000RP00270--100807,2.0,South,1.0,F,0.0,7.59,100.0,0.0,100.0,0.7169,https://maps.roads.maryland.gov/itms_public/?stationid=S2000150031,8205.0,8650.0,8691.0,8772.0,8763.0,7200.0,7351.0,7532.0,7493.0,7554.0,8705.0,9170.0,9211.0,9302.0,9203.0,7560.0,7721.0,7832.0,7793.0,7864.0,,,,,,,NO ERROR,1394.22176602,,,,,,,,,,,1,7.59,100,0,100,"8,205","8,650","8,691","8,772","8,763","7,200","7,351","7,532","7,493","7,554","8,705","9,170","9,211","9,302","9,203","7,560","7,721","7,832","7,793","7,864",N/A,N/A,N/A,N/A,N/A,N/A,N/A,547.8496576732391,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
3213,S2012161250,16.0,Prince George's,82.0,Hyattsville,Decatur St,MU,102.0,  ,-1.0,0.0,0.08,Decatur St - Between Md 201 & 52nd Pl,Baltimore Ave To Decatur St (edmonston)(ahead),Urban,5.0,Major Collector,16082MU00102  01EE**************,16082MU00102--1-----,1.0,East,2.0,F,0.0,10.19,60.38,49.21,50.79,0.2415,https://maps.roads.maryland.gov/itms_public/?stationid=S2012161250,,,8360.0,8381.0,8362.0,8583.0,8754.0,8965.0,8270.0,8271.0,,,9030.0,9051.0,8952.0,9183.0,9374.0,9505.0,8770.0,9101.0,,,,,,,NO ERROR,464.0684111,,,,,,,,,,,2,10.19,60.38,49.21,50.79,N/A,N/A,"8,360","8,381","8,362","8,583","8,754","8,965","8,270","8,271",N/A,N/A,"9,030","9,051","8,952","9,183","9,374","9,505","8,770","9,101",N/A,N/A,N/A,N/A,N/A,N/A,N/A,181.6880667321647,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
3214,B3229,16.0,Prince George's,0.0,None,Piscataway Rd,MD,223.0,  ,7.2,7.17,7.4,Md223-between Pineview La & Md5,Pine View La To Md 5 Ramps,Urban,4.0,Minor Arterial,16000MD00223  01NN**************,16000MD00223--1-----,1.0,South,4.0,C,0.0,7.12,50.65,54.03,45.97,3.6266,https://maps.roads.maryland.gov/itms_public/?stationid=B3229,46560.0,46751.0,46382.0,44990.0,44861.0,46032.0,45690.0,46791.0,46372.0,43200.0,49820.0,50491.0,50092.0,48590.0,48001.0,49252.0,48890.0,50071.0,49622.0,45790.0,,,,,,,NO ERROR,1252.23704801,,,,,,,,,,,4,7.12,50.65,54.03,45.97,"46,560","46,751","46,382","44,990","44,861","46,032","45,690","46,791","46,372","43,200","49,820","50,491","50,092","48,590","48,001","49,252","48,890","50,071","49,622","45,790",N/A,N/A,N/A,N/A,N/A,N/A,N/A,489.29111309738596,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
3217,S2012151296,15.0,Montgomery,0.0,None,Ramp 4 Fr Briggs Chaney Rd To Md 200 Eb,RP,200.0,  ,0.1,0.0,0.232,Exit 17 Ramp 4 Fr Briggs Chaney Rd To Md 200 Eb,Exit 17 Ramp 04 Briggs Chaney Rd To Md 200 Eb,Urban,2.0,Principal Arterial Other Freeways and Expressways,15000RP00200  02EEMD17        04,15000RP00200--101704,2.0,East,1.0,F,0.0,7.62,100.0,100.0,0.0,0.1111,https://maps.roads.maryland.gov/itms_public/?stationid=S2012151296,,,390.0,391.0,392.0,403.0,414.0,1320.0,1311.0,1312.0,,,420.0,421.0,422.0,433.0,444.0,1410.0,1401.0,1392.0,,,,,,,NO ERROR,1251.62900349,,,,,,,,,,,1,7.62,100,100,0,N/A,N/A,390,391,392,403,414,"1,320","1,311","1,312",N/A,N/A,420,421,422,433,444,"1,410","1,401","1,392",N/A,N/A,N/A,N/A,N/A,N/A,N/A,490.93848892129773,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
3219,S2012150913,15.0,Montgomery,0.0,None,Garrett Park Rd,GV,1191.0,  ,0.6,0.56,0.82,Garrett Park Rd - .05 Mi North Of Beach Dr,Garrett Park Rd (back) To Schuylkill Rd,Urban,7.0,Local,15000GV01191  01SS**************,15000GV01191--1-----,1.0,South,2.0,F,0.0,13.16,70.86,50.85,49.15,0.3503,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150913,,,3300.0,3311.0,3302.0,3393.0,3464.0,3555.0,3690.0,3691.0,,,3560.0,3581.0,3532.0,3633.0,3714.0,3775.0,3910.0,4061.0,,,,,,,NO ERROR,1269.38950833,,,,,,,,,,,2,13.16,70.86,50.85,49.15,N/A,N/A,"3,300","3,311","3,302","3,393","3,464","3,555","3,690","3,691",N/A,N/A,"3,560","3,581","3,532","3,633","3,714","3,775","3,910","4,061",N/A,N/A,N/A,N/A,N/A,N/A,N/A,498.03007078898867,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
3220,S2012150794,15.0,Montgomery,0.0,None,Second Ave                              ,CO,1300.0,  ,1.29,0.0,1.32,Second Ave - Between Md 384 & Apple Ave,Seminary Pl To Colesville Rd,Urban,6.0,Minor Collector,15000CO01300  01SS**************,15000CO01300--1-----,1.0,North,3.0,F,0.0,9.99,53.35,49.58,50.42,3.084,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150794,,,6280.0,6291.0,6272.0,6443.0,6574.0,6735.0,6400.0,6401.0,,,6780.0,6791.0,6712.0,6893.0,7034.0,7145.0,6780.0,7041.0,,,,,,,NO ERROR,6926.68719905,,,,,,,,,,,3,9.99,53.35,49.58,50.42,N/A,N/A,"6,280","6,291","6,272","6,443","6,574","6,735","6,400","6,401",N/A,N/A,"6,780","6,791","6,712","6,893","7,034","7,145","6,780","7,041",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2720.3451277832078,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
3222,S2012161199,16.0,Prince George's,0.0,None,Campus Way South,OP,4770.0,  ,-1.0,0.33,0.53,Campus Way South - .04 Mi North Of Md 202,Campus Way South (back) To Campus Way South (ahead),Urban,5.0,Major Collector,16000OP04770  01SS**************,16000OP04770--1-----,1.0,North,3.0,F,0.0,8.88,53.41,50.8,49.2,0.979,https://maps.roads.maryland.gov/itms_public/?stationid=S2012161199,,,13340.0,13371.0,13332.0,13683.0,13944.0,14285.0,13250.0,13411.0,,,14410.0,14441.0,14272.0,14643.0,14924.0,15145.0,14050.0,14581.0,,,,,,,NO ERROR,1052.11755306,,,,,,,,,,,3,8.88,53.41,50.8,49.2,N/A,N/A,"13,340","13,371","13,332","13,683","13,944","14,285","13,250","13,411",N/A,N/A,"14,410","14,441","14,272","14,643","14,924","15,145","14,050","14,581",N/A,N/A,N/A,N/A,N/A,N/A,N/A,412.95551107104075,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
3224,S2017150264,15.0,Montgomery,0.0,None,Broschart Rd,CO,4910.0,  ,0.41,0.0,0.51,Broschart Rd - .10 Mile South Of Md 28,Medical Center Dr To Md 28,Urban,6.0,Minor Collector,15000CO04910  01NN**************,15000CO04910--1-----,1.0,South,4.0,F,0.0,10.83,76.15,54.24,45.76,0.6296,https://maps.roads.maryland.gov/itms_public/?stationid=S2017150264,,,,,,,,3410.0,3381.0,3382.0,,,,,,,,3620.0,3581.0,3722.0,,,,,,,NO ERROR,2612.23181951,,,,,,,,,,,4,10.83,76.15,54.24,45.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3,410","3,381","3,382",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3,620","3,581","3,722",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1028.2531888939795,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
3228,S2000150189,15.0,Montgomery,0.0,None,Ramp 6 Fr Is 495 Eb To Md 193 Sb,RP,495.0,  ,0.1,0.0,0.22,Exit 29 Ramp 6 Fr Is 495 Eb To Md 193 Sb,Exit 29 Ramp 06 Capital Beltway To University Blvd E,Urban,1.0,Interstate,15000RP00495  02EEIS29        06,15000RP00495--102906,2.0,South,1.0,F,0.0,6.96,100.0,0.0,100.0,0.7316,https://maps.roads.maryland.gov/itms_public/?stationid=S2000150189,8405.0,8070.0,8111.0,8330.0,8321.0,8480.0,8661.0,8872.0,9050.0,9111.0,8905.0,8550.0,8601.0,8830.0,8741.0,8900.0,9091.0,9232.0,9410.0,9481.0,,,,,,,NO ERROR,1264.71928057,,,,,,,,,,,1,6.96,100,0,100,"8,405","8,070","8,111","8,330","8,321","8,480","8,661","8,872","9,050","9,111","8,905","8,550","8,601","8,830","8,741","8,900","9,091","9,232","9,410","9,481",N/A,N/A,N/A,N/A,N/A,N/A,N/A,496.16159029144404,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
3235,B2827,15.0,Montgomery,0.0,None,Metropolitan Ave,MD,192.0,  ,0.49,0.29,2.14,Md192-.10 Mi E Of Md185,Plyers Mill Rd (back) To Seminary Rd,Urban,4.0,Minor Arterial,15000MD00192  01EE**************,15000MD00192--1-----,1.0,West,2.0,C,0.0,8.31,58.4,48.47,51.53,6.8808,https://maps.roads.maryland.gov/itms_public/?stationid=B2827,8921.0,8962.0,8893.0,8680.0,8651.0,8882.0,9053.0,9274.0,9195.0,10190.0,9551.0,9682.0,9603.0,9370.0,9261.0,9502.0,9693.0,9924.0,9845.0,10800.0,21.0,8375.0,1320.0,75.0,364.0,35.0,NO ERROR,9731.55614883,399.0,0.9122807,0.0877193,0.00206084,0.8218842,0.12953876,0.00736016,0.0357213,0.00343474,0.03915604,2,8.31,58.4,48.47,51.53,"8,921","8,962","8,893","8,680","8,651","8,882","9,053","9,274","9,195","10,190","9,551","9,682","9,603","9,370","9,261","9,502","9,693","9,924","9,845","10,800",21,"8,375",75,"1,320",364,35,399,3820.6195533673495,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
3236,S2004160088,16.0,Prince George's,0.0,None,Ramp 7 Fr Md 5l Wb To Md 5 Sb,RP,5.0,  ,0.01,0.0,0.02,Exit 9 Ramp 7 Fr Md 5l Wb To Md 5 Sb,Exit 9  Ramp 07 Coventry Way To Ramp 6 Fr Md 5l Eb To Ramp 7 (to Md 5),Urban,2.0,Principal Arterial Other Freeways and Expressways,16000RP00005  02NNMD9         07,16000RP00005--100907,2.0,South,2.0,F,0.0,10.46,100.0,0.0,100.0,0.0189,https://maps.roads.maryland.gov/itms_public/?stationid=S2004160088,2850.0,2861.0,2842.0,2853.0,2430.0,2491.0,2542.0,2603.0,2584.0,2585.0,3050.0,3091.0,3072.0,3083.0,2600.0,2671.0,2722.0,2793.0,2774.0,2745.0,,,,,,,NO ERROR,130.43379365,,,,,,,,,,,2,10.46,100,0,100,"2,850","2,861","2,842","2,853","2,430","2,491","2,542","2,603","2,584","2,585","3,050","3,091","3,072","3,083","2,600","2,671","2,722","2,793","2,774","2,745",N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.12052615025905,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
3238,B2901,15.0,Montgomery,0.0,None,Capital Beltway,IS,495.0,  ,9.61,8.24,10.44,Is495-.80 Mi W Of Md97,Md 185 To Md 97,Urban,1.0,Interstate,15000IS00495  01EE**************,15000IS00495--1-----,1.0,West,8.0,F,1.0,6.55,52.55,48.75,51.25,187.4852,https://maps.roads.maryland.gov/itms_public/?stationid=B2901,240271.0,240512.0,229920.0,231991.0,231762.0,227870.0,232661.0,238252.0,231860.0,233481.0,254691.0,254942.0,243720.0,245911.0,243352.0,239260.0,244291.0,247782.0,241130.0,242821.0,296.0,186015.0,30405.0,1785.0,9574.0,5406.0,NO ERROR,11658.77307019,14980.0,0.63911883,0.36088117,0.00126777,0.79670294,0.13022473,0.00764516,0.04100548,0.02315392,0.0641594,8,6.55,52.55,48.75,51.25,"240,271","240,512","229,920","231,991","231,762","227,870","232,661","238,252","231,860","233,481","254,691","254,942","243,720","245,911","243,352","239,260","244,291","247,782","241,130","242,821",296,"186,015",1785,"30,405","9,574",5406,14980,4571.039401129553,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
3242,S2010150037,15.0,Montgomery,0.0,None,Ramp 4 Fr Us 29 Nb To Md 198 Eb,RP,29.0,  ,0.21,0.206,0.227,Exit 11a Ramp 4 Fr Us 29 Nb To Md 198 Eb,Exit 11 Ramp 04 Ramp 1 Fr Ramp 4 (fr Us 29) To Md 198 Wb To Sandy Spring Rd,Urban,2.0,Principal Arterial Other Freeways and Expressways,15000RP00029  02EEUS11A       04,15000RP00029--111A04,2.0,East,1.0,F,0.0,7.92,100.0,100.0,0.0,0.0383,https://maps.roads.maryland.gov/itms_public/?stationid=S2010150037,7260.0,6380.0,6650.0,6661.0,6642.0,6823.0,6954.0,5030.0,4991.0,4992.0,7770.0,6890.0,7180.0,7191.0,7112.0,7303.0,7444.0,5380.0,5341.0,5292.0,,,,,,,NO ERROR,123.16839294,,,,,,,,,,,1,7.92,100,100,0,"7,260","6,380","6,650","6,661","6,642","6,823","6,954","5,030","4,991","4,992","7,770","6,890","7,180","7,191","7,112","7,303","7,444","5,380","5,341","5,292",N/A,N/A,N/A,N/A,N/A,N/A,N/A,48.38953281837454,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
3244,B2835,15.0,Montgomery,0.0,None,University Blvd E,MD,193.0,  ,5.07,4.91,5.17,Md193-.10 Mi W Of Franklin Ave,Is 495 To Franklin Ave,Urban,3.0,Principal Arterial Other,15000MD00193  01EE**************,15000MD00193--1-----,1.0,West,6.0,F,1.0,7.28,53.98,44.83,55.17,4.6853,https://maps.roads.maryland.gov/itms_public/?stationid=B2835,43771.0,43952.0,43500.0,43591.0,43462.0,46600.0,47491.0,48632.0,49370.0,49371.0,46841.0,47472.0,46980.0,47081.0,46502.0,49860.0,50821.0,52042.0,52830.0,52331.0,176.0,41275.0,5717.0,394.0,1313.0,496.0,NO ERROR,1322.26022523,1809.0,0.72581537,0.27418463,0.00356485,0.8360171,0.11579672,0.00798039,0.02659456,0.01004638,0.03664094,6,7.28,53.98,44.83,55.17,"43,771","43,952","43,500","43,591","43,462","46,600","47,491","48,632","49,370","49,371","46,841","47,472","46,980","47,081","46,502","49,860","50,821","52,042","52,830","52,331",176,"41,275",394,"5,717","1,313",496,1809,519.6047791351205,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
3247,S2004160075,16.0,Prince George's,0.0,None,Ramp 3 Fr Md 223 Eb To Md 5 Nb,RP,5.0,  ,0.05,0.0,0.06,Exit 7 Ramp 3 Fr Md 223 Eb To Md 5 Nb,Exit 7  Ramp 03 Branch Ave To Ramp 2 Fr Md 223 Wb To Ramp 3 (to Md 5),Urban,2.0,Principal Arterial Other Freeways and Expressways,16000RP00005  02EEMD7         03,16000RP00005--100703,2.0,North,2.0,F,0.0,7.22,100.0,100.0,0.0,0.2747,https://maps.roads.maryland.gov/itms_public/?stationid=S2004160075,11650.0,11701.0,11612.0,11643.0,11810.0,12121.0,12352.0,12653.0,12544.0,12545.0,12470.0,12641.0,12542.0,12573.0,12640.0,12971.0,13222.0,13543.0,13424.0,13305.0,,,,,,,NO ERROR,307.44142225,,,,,,,,,,,2,7.22,100,100,0,"11,650","11,701","11,612","11,643","11,810","12,121","12,352","12,653","12,544","12,545","12,470","12,641","12,542","12,573","12,640","12,971","13,222","13,543","13,424","13,305",N/A,N/A,N/A,N/A,N/A,N/A,N/A,120.47811860599492,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
