screenline_id,tract_pair_id,screenline_family,assignment_quality,assignment_status,LOCATION_ID,COUNTY_DESC,ROADNAME,ID_PREFIX,ID_RTE_NO,ID_MP,STATION_DESC,ROAD_SECTION,PEAK_HOUR_DIRECTION,NUM_LANES,COUNTED_FACTORED,AADT_2017,AADT_2018,AAWDT_2017,AAWDT_2018,K_FACTOR,D_FACTOR,NORTH_EAST_SPLIT,SOUTH_WEST_SPLIT,station_tract_geoid,adjacent_tract_geoid,station_county_geoid,adjacent_county_geoid,station_to_shared_boundary_m,shared_boundary_length_m,n_adjacent_tract_candidates_within_buffer,longitude,latitude,LINK,BEGIN_SECTION,END_SECTION,RURAL_URBAN,F_SYSTEM,F_SYSTEM_DESC,MAIN_LINE,AADT,AAWDT,TRUCK_AADT,station_class,is_mainline,is_ramp,candidate_reason,candidate_for_tract_screenline_seed,AADT_2017_NUM,AADT_2018_NUM,AAWDT_2017_NUM,AAWDT_2018_NUM,AADT_NUM,AAWDT_NUM,NUM_LANES_NUM,MAIN_LINE_NUM,ID_RTE_NO_NUM,K_FACTOR_NUM,D_FACTOR_NUM,tract_index,station_tract_label,tract_a_geoid,tract_b_geoid,station_county_name,adjacent_county_name,station_to_containing_tract_boundary_m,validation_observed_daily_field_preferred,validation_model_flow_definition
sl_B150074_24031701420__24031701421,24031701420__24031701421,other_adjacent_tract_pair,high,accepted,B150074,Montgomery,Cherry Hill Rd,CO,4359.0,0.4,Cherry Hill Rd-.40 Mi S Of Us29,Md 929b (back) To Prince Georges Co/l,North,4.0,F,35522.0,33780.0,38012.0,36150.0,8.26,50.96,51.49,48.51,24031701420,24031701421,24031,24031,0.4256258059137423,2322.1557752677268,1,-76.95624808694905,39.05975944272242,https://maps.roads.maryland.gov/itms_public/?stationid=B150074,0.25,1.47,Urban,4.0,Minor Arterial,1.0,35201.0,35811.0,,B,True,False,montgomery_dc_spatial;pg_montgomery_spatial,True,35522.0,33780.0,38012.0,36150.0,35201.0,35811.0,4.0,1.0,4359.0,8.26,50.96,1332,Census Tract 7014.20,24031701420,24031701421,"Montgomery County, MD","Montgomery County, MD",0.4256258059137423,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
sl_S2012150977_24031700901__24031701005,24031700901__24031701005,other_adjacent_tract_pair,low_review,accepted,S2012150977,Montgomery,S Washington St,MU,3150.0,0.37,S Washington St - Between Md 28 & E Montgomery Ave,Argyle St To E Montgomery Ave At Courthouse Sq,South,2.0,F,5475.0,5060.0,5865.0,5410.0,8.07,50.0,45.1,54.9,24031700901,24031701005,24031,24031,165.68455784855593,1850.2778080675369,1,-77.15288573004291,39.08374948955166,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150977,0.0,0.4,Urban,7.0,Local,1.0,5061.0,5371.0,,S,True,False,montgomery_dc_spatial,True,5475.0,5060.0,5865.0,5410.0,5061.0,5371.0,2.0,1.0,3150.0,8.07,50.0,195,Census Tract 7009.01,24031700901,24031701005,"Montgomery County, MD","Montgomery County, MD",165.68455784855593,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
sl_B160016_24033800605__24033800701,24033800605__24033800701,other_adjacent_tract_pair,high,accepted,B160016,Prince George's,Ritchie Marlboro Rd,CO,974.0,0.1,Ritchie Marlboro Rd-.10 Mi N Of Old Marlboro Pike,Old Marlboro Pike To White House Rd,North,3.0,F,10090.0,10001.0,10800.0,10701.0,8.61,73.17,50.74,49.26,24033800605,24033800701,24033,24033,0.34321760521233546,4760.62397255316,1,-76.77926234474342,38.816824901437386,https://maps.roads.maryland.gov/itms_public/?stationid=B160016,0.0,4.927,Urban,4.0,Minor Arterial,1.0,10002.0,10602.0,757.0,B,True,False,pg_dc_spatial,True,10090.0,10001.0,10800.0,10701.0,10002.0,10602.0,3.0,1.0,974.0,8.61,73.17,1554,Census Tract 8006.05,24033800605,24033800701,"Prince George's County, MD","Prince George's County, MD",0.34321760521233546,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
sl_S2012161057_24033801407__24033801701,24033801407__24033801701,other_adjacent_tract_pair,high,accepted,S2012161057,Prince George's,Brinkley Rd                             ,CO,122.0,2.62,Brinkley Rd - Between Temple Hill Rd & Lujean La,Fisher Rd To Temple Hill Rd,East,2.0,F,11565.0,11720.0,12265.0,12420.0,8.48,53.72,50.27,49.73,24033801701,24033801407,24033,24033,1.4079833759993134,1501.3674589117559,2,-76.92975294599049,38.80073996528815,https://maps.roads.maryland.gov/itms_public/?stationid=S2012161057,0.95,2.66,Urban,5.0,Major Collector,1.0,11721.0,12891.0,,S,True,False,pg_dc_spatial,True,11565.0,11720.0,12265.0,12420.0,11721.0,12891.0,2.0,1.0,122.0,8.48,53.72,1509,Census Tract 8017.01,24033801701,24033801407,"Prince George's County, MD","Prince George's County, MD",1.4079833759993134,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
sl_B2970_24031705901__24031706013,24031705901__24031706013,other_adjacent_tract_pair,high,accepted,B2970,Montgomery,Capital Beltway,IS,495.0,3.07,Is495-.70 Mi E Of Md190,Md 190 To Is 270y,West,8.0,C,248891.0,247402.0,258851.0,257302.0,6.98,50.95,49.71,50.29,24031706013,24031705901,24031,24031,0.6926617353003484,2233.9992185239726,1,-77.15668468651484,39.00113066825362,https://maps.roads.maryland.gov/itms_public/?stationid=B2970,2.37,3.95,Urban,1.0,Interstate,1.0,255090.0,265290.0,,B,True,False,montgomery_dc_route;pg_montgomery_route;montgomery_dc_spatial,True,248891.0,247402.0,258851.0,257302.0,255090.0,265290.0,8.0,1.0,495.0,6.98,50.95,1328,Census Tract 7060.13,24031706013,24031705901,"Montgomery County, MD","Montgomery County, MD",0.6926617353003484,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
sl_S2012150900_24031700607__24031700816,24031700607__24031700816,other_adjacent_tract_pair,high,accepted,S2012150900,Montgomery,Darnestown Rd,CO,7009.0,0.03,Darnestown Rd - Between Md 28 & Hunting La,Md 28 To Shady Grove Rd,East,4.0,F,17735.0,17010.0,18985.0,18200.0,9.46,66.34,51.51,48.49,24031700607,24031700816,24031,24031,2.4639802738513845,1342.5774577563068,1,-77.21335188787415,39.10026444753669,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150900,0.0,1.09,Urban,4.0,Minor Arterial,1.0,17011.0,18031.0,,S,True,False,montgomery_dc_spatial,True,17735.0,17010.0,18985.0,18200.0,17011.0,18031.0,4.0,1.0,7009.0,9.46,66.34,1434,Census Tract 7006.07,24031700607,24031700816,"Montgomery County, MD","Montgomery County, MD",2.4639802738513845,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
sl_S2017150247_24031701508__24031701509,24031701508__24031701509,other_adjacent_tract_pair,high,accepted,S2017150247,Montgomery,Stewart La,CO,112.0,0.12,Stewart La - .10 Mile East Of Us 29,Milestone Dr To Lockwood Dr,East,2.0,F,6970.0,6911.0,7390.0,7331.0,7.62,60.59,55.49,44.51,24031701508,24031701509,24031,24031,0.5537886630974002,2375.252642838747,2,-76.98553698125465,39.04575710138072,https://maps.roads.maryland.gov/itms_public/?stationid=S2017150247,0.0,0.47,Urban,5.0,Major Collector,1.0,6912.0,7602.0,,S,True,False,montgomery_dc_spatial;pg_montgomery_spatial,True,6970.0,6911.0,7390.0,7331.0,6912.0,7602.0,2.0,1.0,112.0,7.62,60.59,1331,Census Tract 7015.08,24031701508,24031701509,"Montgomery County, MD","Montgomery County, MD",0.5537886630974002,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
sl_B2811_24031706008__24031706009,24031706008__24031706009,other_adjacent_tract_pair,high,accepted,B2811,Montgomery,Falls Rd                                ,CO,7068.0,1.87,Falls Rd-.10 Mi S Of Md190,Mcarthur Blvd To Md 190,North,3.0,F,14720.0,14591.0,15750.0,15611.0,9.79,60.47,49.9,50.1,24031706008,24031706009,24031,24031,1.3020609707533815,9309.72775464845,2,-77.21014667827917,39.016968535965866,https://maps.roads.maryland.gov/itms_public/?stationid=B2811,0.0,1.97,Urban,4.0,Minor Arterial,1.0,15202.0,15472.0,,B,True,False,montgomery_dc_spatial,True,14720.0,14591.0,15750.0,15611.0,15202.0,15472.0,3.0,1.0,7068.0,9.79,60.47,1391,Census Tract 7060.08,24031706008,24031706009,"Montgomery County, MD","Montgomery County, MD",1.3020609707533815,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
sl_S2012161104_24033803002__24033803524,24033803002__24033803524,other_adjacent_tract_pair,high,accepted,S2012161104,Prince George's,Hill Rd,CO,360.0,0.08,Hill Rd - Between Md 704 & Highland Park Dr,Md 704 To Seat Pleasant Dr,South,3.0,F,11935.0,12060.0,12655.0,12780.0,8.23,52.34,52.23,47.77,24033803002,24033803524,24033,24033,0.48239723154370556,1223.2051565317995,1,-76.89365497993474,38.90650771457701,https://maps.roads.maryland.gov/itms_public/?stationid=S2012161104,0.0,0.58,Urban,5.0,Major Collector,1.0,12061.0,13271.0,,S,True,False,pg_dc_spatial,True,11935.0,12060.0,12655.0,12780.0,12061.0,13271.0,3.0,1.0,360.0,8.23,52.34,607,Census Tract 8030.02,24033803002,24033803524,"Prince George's County, MD","Prince George's County, MD",0.48239723154370556,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
sl_S2012150691_24031703601__24031703702,24031703601__24031703702,other_adjacent_tract_pair,medium,accepted,S2012150691,Montgomery,Newport Mill Rd,CO,147.0,0.69,Newport Mill Rd - Between College View Dr & Md 586,Denfeld Ave To Md 586,South,2.0,F,5955.0,5905.0,6315.0,6265.0,14.13,58.59,53.13,46.87,24031703601,24031703702,24031,24031,54.90330763364361,742.435211970476,2,-77.06559734298008,39.04472614561765,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150691,0.0,0.73,Urban,6.0,Minor Collector,1.0,5915.0,6515.0,,S,True,False,montgomery_dc_spatial;pg_montgomery_spatial,True,5955.0,5905.0,6315.0,6265.0,5915.0,6515.0,2.0,1.0,147.0,14.13,58.59,204,Census Tract 7036.01,24031703601,24031703702,"Montgomery County, MD","Montgomery County, MD",54.90330763364361,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
sl_B150078_24031702302__24031702900,24031702302__24031702900,other_adjacent_tract_pair,high,accepted,B150078,Montgomery,Sligo Creek Pkwy,GV,7.0,2.19,Sligo Creek Pkwy-.10 Mi W Of Us29,Us 29 To Md 193,West,2.0,F,9560.0,9471.0,10130.0,10041.0,9.26,53.9,50.16,49.84,24031702302,24031702900,24031,24031,13.841127741806833,2858.0456453101183,1,-77.02128298019556,39.00865660685061,https://maps.roads.maryland.gov/itms_public/?stationid=B150078,2.09,4.56,Urban,5.0,Major Collector,1.0,9472.0,10422.0,245.0,B,True,False,montgomery_dc_spatial;pg_montgomery_spatial,True,9560.0,9471.0,10130.0,10041.0,9472.0,10422.0,2.0,1.0,7.0,9.26,53.9,1450,Census Tract 7023.02,24031702302,24031702900,"Montgomery County, MD","Montgomery County, MD",13.841127741806833,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
sl_S2012150715_24031705901__24031705902,24031705901__24031705902,other_adjacent_tract_pair,medium,accepted,S2012150715,Montgomery,Burdette Rd,CO,169.0,1.39,Burdette Rd - .10 Mile North Of Md 190,Md 191 To Royal Dominion Dr,South,2.0,F,3675.0,3590.0,3905.0,3810.0,10.22,52.24,52.16,47.84,24031705901,24031705902,24031,24031,77.67586292896088,1900.2877083353128,1,-77.15218386642995,38.990846644914654,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150715,0.2,1.61,Urban,5.0,Major Collector,1.0,3591.0,3951.0,,S,True,False,montgomery_dc_spatial,True,3675.0,3590.0,3905.0,3810.0,3591.0,3951.0,2.0,1.0,169.0,10.22,52.24,1388,Census Tract 7059.01,24031705901,24031705902,"Montgomery County, MD","Montgomery County, MD",77.67586292896088,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
sl_S2012150937_24031700901__24031700902,24031700901__24031700902,other_adjacent_tract_pair,low_review,accepted,S2012150937,Montgomery,Beall Ave #2,MU,272.0,0.87,Beall Ave #2 - Between Md 355 & Maryland Ave,Henderson Cir To Hungerford Dr,East,2.0,F,6725.0,6290.0,7135.0,6670.0,8.42,53.43,53.65,46.35,24031700901,24031700902,24031,24031,149.48843507419693,2156.0656665041347,1,-77.1506993797617,39.08723315144396,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150937,0.0,0.91,Urban,6.0,Minor Collector,1.0,6291.0,6921.0,,S,True,False,montgomery_dc_spatial,True,6725.0,6290.0,7135.0,6670.0,6291.0,6921.0,2.0,1.0,272.0,8.42,53.43,195,Census Tract 7009.01,24031700901,24031700902,"Montgomery County, MD","Montgomery County, MD",149.48843507419693,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
sl_B2762_24031701212__24031701307,24031701212__24031701307,other_adjacent_tract_pair,high,accepted,B2762,Montgomery,Muncaster Mill Rd,MD,115.0,4.48,Md115-.20 Mi W Of Emory La,Shady Grove Rd To Emory La,East,3.0,F,17572.0,16780.0,18802.0,17960.0,9.87,63.37,49.67,50.33,24031701307,24031701212,24031,24031,0.3743196006381558,5118.709280847784,3,-77.10164256625058,39.11790211417529,https://maps.roads.maryland.gov/itms_public/?stationid=B2762,1.02,4.66,Urban,4.0,Minor Arterial,1.0,16781.0,17791.0,693.0,B,True,False,montgomery_dc_spatial;pg_montgomery_spatial,True,17572.0,16780.0,18802.0,17960.0,16781.0,17791.0,3.0,1.0,115.0,9.87,63.37,335,Census Tract 7013.07,24031701307,24031701212,"Montgomery County, MD","Montgomery County, MD",0.3743196006381558,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
sl_S2012150732_24031703207__24031703702,24031703207__24031703702,other_adjacent_tract_pair,medium,accepted,S2012150732,Montgomery,Parker Ave                              ,CO,284.0,0.72,Parker Ave - Between Gandview Ave & Md 97,Newport Mill Rd To Md 97,West,2.0,F,765.0,810.0,815.0,860.0,7.68,81.43,37.01,62.99,24031703702,24031703207,24031,24031,50.6238980674296,1242.1918617649155,1,-77.05240874510258,39.04949847815653,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150732,0.0,1.15,Urban,6.0,Minor Collector,1.0,811.0,891.0,,S,True,False,montgomery_dc_spatial;pg_montgomery_spatial,True,765.0,810.0,815.0,860.0,811.0,891.0,2.0,1.0,284.0,7.68,81.43,1419,Census Tract 7037.02,24031703702,24031703207,"Montgomery County, MD","Montgomery County, MD",50.6238980674296,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
sl_S2012161023_24033800411__24033800413,24033800411__24033800413,other_adjacent_tract_pair,medium,accepted,S2012161023,Prince George's,Good Luck Rd,CO,42.0,4.99,Good Luck Rd - .10 Mi East Of Md 193,Md 193 To Wingate Dr,East,3.0,F,13355.0,12490.0,14165.0,13240.0,9.15,51.37,50.47,49.53,24033800411,24033800413,24033,24033,76.68436312446282,1804.439039262707,2,-76.83606028960413,38.991601876292926,https://maps.roads.maryland.gov/itms_public/?stationid=S2012161023,4.94,6.409,Urban,5.0,Major Collector,1.0,12491.0,13741.0,,S,True,False,pg_dc_spatial;pg_montgomery_spatial,True,13355.0,12490.0,14165.0,13240.0,12491.0,13741.0,3.0,1.0,42.0,9.15,51.37,448,Census Tract 8004.11,24033800411,24033800413,"Prince George's County, MD","Prince George's County, MD",76.68436312446282,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
sl_S2012161127_24033803900__24033804002,24033803900__24033804002,other_adjacent_tract_pair,high,accepted,S2012161127,Prince George's,Decatur St,CO,601.0,0.02,Decatur St - Between Md 201 & 53rd Ave,Kenilworth Ave To Road End,East,2.0,F,3465.0,3160.0,3675.0,3350.0,9.39,60.96,48.29,51.71,24033804002,24033803900,24033,24033,1.8725254929773145,1450.2913307657368,2,-76.92892702863007,38.94791119713408,https://maps.roads.maryland.gov/itms_public/?stationid=S2012161127,0.0,0.26,Urban,7.0,Local,1.0,3161.0,3481.0,,S,True,False,pg_dc_spatial;pg_montgomery_spatial,True,3465.0,3160.0,3675.0,3350.0,3161.0,3481.0,2.0,1.0,601.0,9.39,60.96,1488,Census Tract 8040.02,24033804002,24033803900,"Prince George's County, MD","Prince George's County, MD",1.8725254929773145,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
