LOCATION_ID,COUNTY_DESC,ROADNAME,ID_PREFIX,ID_RTE_NO,ID_MP,BEGIN_SECTION,END_SECTION,STATION_DESC,ROAD_SECTION,RURAL_URBAN,F_SYSTEM,F_SYSTEM_DESC,MAIN_LINE,PEAK_HOUR_DIRECTION,NUM_LANES,COUNTED_FACTORED,K_FACTOR,D_FACTOR,NORTH_EAST_SPLIT,SOUTH_WEST_SPLIT,AADT_2017,AADT_2018,AAWDT_2017,AAWDT_2018,AADT,AAWDT,TRUCK_AADT,LINK,longitude,latitude,station_class,is_mainline,is_ramp,candidate_reason,candidate_for_tract_screenline_seed,AADT_2017_NUM,AADT_2018_NUM,AAWDT_2017_NUM,AAWDT_2018_NUM,AADT_NUM,AAWDT_NUM,NUM_LANES_NUM,MAIN_LINE_NUM,ID_RTE_NO_NUM,K_FACTOR_NUM,D_FACTOR_NUM,tract_index,station_tract_geoid,station_county_geoid,station_tract_label,assignment_status,station_to_boundary_m
S2012161026,Prince George's,Chestnut Ave,CO,51.0,0.07,0.04,0.98,Chestnut Ave - Between 11th St & 12th St,11th St To High Bridge Rd (ahead),Urban,5.0,Major Collector,1.0,South,2.0,F,8.06,56.31,52.46,47.54,3285.0,3420.0,3485.0,3630.0,3421.0,3761.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012161026,-76.7787016891066,39.00620490669379,S,True,False,pg_dc_spatial,True,3285.0,3420.0,3485.0,3630.0,3421.0,3761.0,2.0,1.0,51.0,8.06,56.31,447,24033800410,24033,Census Tract 8004.10,reject_not_near_tract_boundary,570.9462030832683
S2012150679,Montgomery,Avery Rd,CO,139.0,1.0,0.43,1.08,Avery Rd - .10 Mile South Of Southlawn La,Avery Rd (back) To Southlawn La,Urban,5.0,Major Collector,1.0,North,2.0,F,11.45,68.38,50.41,49.59,3825.0,4030.0,4065.0,4270.0,4031.0,4431.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150679,-77.12125711339269,39.105609860072526,S,True,False,montgomery_dc_spatial,True,3825.0,4030.0,4065.0,4270.0,4031.0,4431.0,2.0,1.0,139.0,11.45,68.38,1407,24031701212,24031,Census Tract 7012.12,reject_not_near_tract_boundary,340.4731573237736
S2012150978,Montgomery,N Washington St,MU,3151.0,0.5,0.0,0.55,N Washington St - Between Md 355 & Martins La,E Montgomery Ave At Courthouse Sq To Hungerford Dr,Urban,4.0,Minor Arterial,1.0,North,2.0,F,8.17,56.97,50.01,49.99,12575.0,12300.0,13465.0,13160.0,12301.0,13041.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150978,-77.15356336878759,39.09138767850854,S,True,False,montgomery_dc_spatial,True,12575.0,12300.0,13465.0,13160.0,12301.0,13041.0,2.0,1.0,3151.0,8.17,56.97,195,24031700901,24031,Census Tract 7009.01,reject_not_near_tract_boundary,228.78850803125792
B3101,Prince George's,Rhode Island Ave,US,1.0,0.58,0.48,1.82,Us1-.10 Mi N Of Md208,Md 208 To Us 1al,Urban,3.0,Principal Arterial Other,1.0,North,4.0,C,9.08,69.74,48.09,51.91,17371.0,17222.0,18591.0,18432.0,16440.0,17430.0,,https://maps.roads.maryland.gov/itms_public/?stationid=B3101,-76.95447930595124,38.93978962640816,B,True,False,pg_dc_route;pg_dc_spatial;pg_montgomery_spatial,True,17371.0,17222.0,18591.0,18432.0,16440.0,17430.0,4.0,1.0,1.0,9.08,69.74,1517,24033804600,24033,Census Tract 8046,reject_not_near_tract_boundary,230.65864732513353
B3175,Prince George's,Laurel Bowie Rd,MD,197.0,11.54,10.13,11.866,Md197-.30 Mi S Of Md295,Powder Mill Rd To Md 295,Urban,4.0,Minor Arterial,1.0,North,4.0,C,10.33,53.14,50.17,49.83,26101.0,25872.0,27931.0,27682.0,27060.0,28680.0,,https://maps.roads.maryland.gov/itms_public/?stationid=B3175,-76.83789389482946,39.054189955361046,B,True,False,pg_dc_spatial;pg_montgomery_spatial,True,26101.0,25872.0,27931.0,27682.0,27060.0,28680.0,4.0,1.0,197.0,10.33,53.14,1511,24033800206,24033,Census Tract 8002.06,reject_not_near_tract_boundary,235.43394726614704
S1997160138,Prince George's,Capitol Heights Blvd,CO,393.0,1.13,1.11,1.25,Capitol Heights Ave - North Of Md 332 (one Way),Md 332 To Chamber Ave,Urban,5.0,Major Collector,1.0,North,2.0,F,14.06,100.0,100.0,0.0,425.0,450.0,455.0,480.0,451.0,501.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S1997160138,-76.91363063185477,38.88512171563374,S,True,False,pg_dc_spatial,True,425.0,450.0,455.0,480.0,451.0,501.0,2.0,1.0,393.0,14.06,100.0,594,24033802700,24033,Census Tract 8027,reject_not_near_tract_boundary,302.13588438188265
S2005160003,Prince George's,Harry S Truman Dr,CO,3465.0,2.59,2.19,2.689,Harry S Truman Dr North Of Largo Dr West,Md 202c (back) To Ent To Shop Ctr,Urban,4.0,Minor Arterial,1.0,South,3.0,F,10.79,69.25,52.71,47.29,6120.0,6071.0,6490.0,6441.0,6072.0,6682.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2005160003,-76.84653382835006,38.89890049801728,S,True,False,pg_dc_spatial,True,6120.0,6071.0,6490.0,6441.0,6072.0,6682.0,3.0,1.0,3465.0,10.79,69.25,472,24033803514,24033,Census Tract 8035.14,reject_not_near_tract_boundary,280.5129355432974
S2017150272,Montgomery,Indianola Dr,CO,5052.0,0.39,0.34,1.23,Indianola Dr - .05 Mile North Of Crabbs Branch Way,Crabbs Branch Way To Cul De Sac,Urban,6.0,Minor Collector,1.0,South,2.0,F,9.15,72.97,47.72,52.28,1910.0,1891.0,2030.0,2001.0,1892.0,2082.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2017150272,-77.15607262927747,39.11470575718005,S,True,False,montgomery_dc_spatial,True,1910.0,1891.0,2030.0,2001.0,1892.0,2082.0,2.0,1.0,5052.0,9.15,72.97,1404,24031701211,24031,Census Tract 7012.11,reject_not_near_tract_boundary,500.67046791307075
B150100,Montgomery,Norbeck Rd,CO,7445.0,2.33,0.0,2.526,Norbeck Rd-.20 Mi W Of Md650,Md 28/md 182 To Md650/md198,Urban,3.0,Principal Arterial Other,1.0,West,3.0,F,9.97,64.49,47.49,52.51,20520.0,20341.0,21960.0,21771.0,21202.0,21562.0,,https://maps.roads.maryland.gov/itms_public/?stationid=B150100,-76.99257375796302,39.1216117529335,B,True,False,pg_montgomery_spatial,True,20520.0,20341.0,21960.0,21771.0,21202.0,21562.0,3.0,1.0,7445.0,9.97,64.49,1394,24031701408,24031,Census Tract 7014.08,reject_not_near_tract_boundary,1510.7039329333033
B160030,Prince George's,Crescent Rd,MU,70.0,0.41,0.36,1.74,Crescent Rd-.10 Mi S Of Garden Way,South Way To Md 201,Urban,5.0,Major Collector,1.0,South,3.0,F,9.01,59.23,39.75,60.25,5800.0,5751.0,6150.0,6101.0,5752.0,6332.0,134.0,https://maps.roads.maryland.gov/itms_public/?stationid=B160030,-76.87623134022728,39.00059361435683,B,True,False,pg_dc_spatial;pg_montgomery_spatial,True,5800.0,5751.0,6150.0,6101.0,5752.0,6332.0,3.0,1.0,70.0,9.01,59.23,303,24033806708,24033,Census Tract 8067.08,reject_not_near_tract_boundary,411.2422690073411
S2012150737,Montgomery,Saul Rd,CO,318.0,1.1,0.0,1.81,Saul Rd - .10 Mile North Of Md 185,Parkwood Dr To Kenmore Dr,Urban,5.0,Major Collector,1.0,North,2.0,F,11.38,50.19,49.05,50.95,2615.0,1980.0,2775.0,2100.0,1981.0,2181.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150737,-77.08010244256772,39.01555456135064,S,True,False,montgomery_dc_spatial;pg_montgomery_spatial,True,2615.0,1980.0,2775.0,2100.0,1981.0,2181.0,2.0,1.0,318.0,11.38,50.19,1195,24031704100,24031,Census Tract 7041,reject_not_near_tract_boundary,598.3604558488793
S2012161002,Prince George's,Bond Mill Rd,CO,1.0,0.05,0.0,1.57,Bond Mill Rd - Between Md 198 & Clayburn Dr,Sandy Spring Rd (wb) To Brooklyn Bridge Rd,Urban,5.0,Major Collector,1.0,North,3.0,F,8.98,61.31,50.71,49.29,4745.0,4390.0,5035.0,4650.0,4391.0,4831.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012161002,-76.90642909514014,39.10172082364443,S,True,False,pg_dc_route;pg_montgomery_spatial,True,4745.0,4390.0,5035.0,4650.0,4391.0,4831.0,3.0,1.0,1.0,8.98,61.31,1537,24033800203,24033,Census Tract 8002.03,reject_not_near_tract_boundary,304.2229947830873
B2885,Montgomery,Dale Dr,CO,7074.0,1.02,0.92,1.44,Dale Dr-.10 Mi E Of Us29,Us 29 To Wayne Ave,Urban,4.0,Minor Arterial,1.0,West,2.0,F,9.19,57.64,49.29,50.71,9212.0,9133.0,9862.0,9773.0,9134.0,9684.0,,https://maps.roads.maryland.gov/itms_public/?stationid=B2885,-77.02151470421639,39.00430730957556,B,True,False,montgomery_dc_spatial;pg_montgomery_spatial,True,9212.0,9133.0,9862.0,9773.0,9134.0,9684.0,2.0,1.0,7074.0,9.19,57.64,344,24031702900,24031,Census Tract 7029,reject_not_near_tract_boundary,305.25730381523533
S2012161109,Prince George's,Walker Mill Rd,CO,367.0,0.03,0.0,2.606,Walker Mill Rd - Between Ritchie Marlboro Rd & Hampton Park Blvd,Ritchie Marlboro Rd To Addison Rd,Urban,4.0,Minor Arterial,1.0,East,4.0,F,7.19,54.03,49.66,50.34,22815.0,31960.0,24415.0,34200.0,31961.0,33881.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012161109,-76.85098065699141,38.86969120253978,S,True,False,pg_dc_spatial,True,22815.0,31960.0,24415.0,34200.0,31961.0,33881.0,4.0,1.0,367.0,7.19,54.03,1505,24033802204,24033,Census Tract 8022.04,reject_not_near_tract_boundary,531.7624403871557
S2012150697,Montgomery,Seven Locks Rd,CO,148.0,4.56,4.12,4.69,Seven Locks Rd - Between Seven Hill La & Tuckerman La,Bells Mill Rd To Tuckerman La,Urban,4.0,Minor Arterial,1.0,North,3.0,F,8.94,59.0,48.38,51.62,15765.0,14790.0,16875.0,15830.0,14791.0,15681.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150697,-77.15893035524921,39.0388689273973,S,True,False,montgomery_dc_spatial,True,15765.0,14790.0,16875.0,15830.0,14791.0,15681.0,3.0,1.0,148.0,8.94,59.0,1327,24031706011,24031,Census Tract 7060.11,reject_not_near_tract_boundary,176.0149035035792
S2012150643,Montgomery,Glen Rd                                 ,CO,53.0,1.11,0.94,3.94,Glen Rd - Between Piney Meetinghouse Rd & Partridge Run La,Piney Meetinghouse Rd To Query Mill Rd,Urban,5.0,Major Collector,1.0,East,2.0,F,12.39,87.62,50.47,49.53,5335.0,5030.0,5665.0,5330.0,5031.0,5531.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150643,-77.23568236910693,39.0498872493673,S,True,False,montgomery_dc_spatial,True,5335.0,5030.0,5665.0,5330.0,5031.0,5531.0,2.0,1.0,53.0,12.39,87.62,1413,24031700608,24031,Census Tract 7006.08,reject_not_near_tract_boundary,223.64020850412592
B2964,Montgomery,Eisenhower Memorial Hwy,IS,270.0,2.13,1.54,2.68,Is270-.30 Mi N Of Md187b,Md 187 To Is 270y,Urban,1.0,Interstate,1.0,North,6.0,F,7.31,55.54,49.91,50.09,118682.0,117973.0,123432.0,122693.0,118804.0,123564.0,5795.0,https://maps.roads.maryland.gov/itms_public/?stationid=B2964,-77.13714493489992,39.03250868986789,B,True,False,montgomery_dc_spatial,True,118682.0,117973.0,123432.0,122693.0,118804.0,123564.0,6.0,1.0,270.0,7.31,55.54,554,24031701205,24031,Census Tract 7012.05,reject_not_near_tract_boundary,487.36417202190887
S2012161024,Prince George's,Good Luck Rd,CO,42.0,6.69,6.409,6.857,Good Luck Rd - .10 Mi West Of Springfield Rd,Wingate Dr To Springfield Rd,Urban,5.0,Major Collector,1.0,East,2.0,F,11.68,79.12,54.32,45.68,1475.0,1390.0,1565.0,1470.0,1391.0,1531.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012161024,-76.81319552996624,39.006029973820034,S,True,False,pg_dc_spatial;pg_montgomery_spatial,True,1475.0,1390.0,1565.0,1470.0,1391.0,1531.0,2.0,1.0,42.0,11.68,79.12,448,24033800411,24033,Census Tract 8004.11,reject_not_near_tract_boundary,1438.6340576742878
B160043,Prince George's,Cherrywood La,MU,40.0,1.48,0.0,1.58,Cherrywood La-.10 Mi S Of Md201,Md 193 To Md 201,Urban,5.0,Major Collector,1.0,North,3.0,F,9.4,65.54,48.69,51.31,8880.0,8801.0,9410.0,9331.0,8802.0,9682.0,214.0,https://maps.roads.maryland.gov/itms_public/?stationid=B160043,-76.89408401980602,39.01107604644002,B,True,False,pg_dc_spatial;pg_montgomery_spatial,True,8880.0,8801.0,9410.0,9331.0,8802.0,9682.0,3.0,1.0,40.0,9.4,65.54,1566,24033807408,24033,Census Tract 8074.08,reject_not_near_tract_boundary,522.2944843632888
S2012161216,Prince George's,Preinkert Dr                            ,SR,71.0,0.06,0.0,0.3,Preinkert Dr - Between Campus Dr & Lehigh Rd,Campus Dr To Mowatt La,Urban,5.0,Major Collector,1.0,South,2.0,F,7.35,51.82,48.03,51.97,3795.0,3820.0,4025.0,4050.0,3821.0,4201.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012161216,-76.94573184588776,38.98468212242415,S,True,False,pg_dc_spatial;pg_montgomery_spatial,True,3795.0,3820.0,4025.0,4050.0,3821.0,4201.0,2.0,1.0,71.0,7.35,51.82,1523,24033807200,24033,Census Tract 8072,reject_not_near_tract_boundary,253.35691939039904
S2012150882,Montgomery,Crabbs Branch Way,CO,4991.0,2.12,1.59,2.25,Crabbs Branch Way - .10 Mi North Of E Gude Dr,Indianola Dr To E Gude Dr,Urban,4.0,Minor Arterial,1.0,North,4.0,F,8.88,63.52,49.25,50.75,21225.0,19670.0,22715.0,21050.0,19671.0,20851.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150882,-77.1522315049878,39.10837311439863,S,True,False,montgomery_dc_spatial,True,21225.0,19670.0,22715.0,21050.0,19671.0,20851.0,4.0,1.0,4991.0,8.88,63.52,1404,24031701211,24031,Census Tract 7012.11,reject_not_near_tract_boundary,556.7808156917426
S2017150269,Montgomery,Avenel Farm Dr,CO,6187.0,0.1,0.0,1.08,Avenel Farm Dr - .10 Mile North Of Oaklyn Dr,Oaklyn Dr To Oaklyn Dr,Urban,6.0,Minor Collector,1.0,North,2.0,F,9.03,57.14,49.76,50.24,580.0,581.0,620.0,621.0,582.0,642.0,3.0,https://maps.roads.maryland.gov/itms_public/?stationid=S2017150269,-77.19902008588124,39.00094034131425,S,True,False,montgomery_dc_spatial,True,580.0,581.0,620.0,621.0,582.0,642.0,2.0,1.0,6187.0,9.03,57.14,1389,24031706009,24031,Census Tract 7060.09,reject_not_near_tract_boundary,920.9660811912938
S2012150662,Montgomery,Lockwood Dr,CO,109.0,0.4,0.33,1.4,Lockwood Dr - Between Burnt Mills Ave & Northwest Dr,Burnt Mills Rd To Stewart La,Urban,5.0,Major Collector,1.0,North,3.0,F,10.81,60.53,50.35,49.65,12645.0,12830.0,13535.0,13730.0,12831.0,13601.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150662,-76.99629540721823,39.03619376160447,S,True,False,montgomery_dc_spatial;pg_montgomery_spatial,True,12645.0,12830.0,13535.0,13730.0,12831.0,13601.0,3.0,1.0,109.0,10.81,60.53,580,24031701505,24031,Census Tract 7015.05,reject_not_near_tract_boundary,288.14313374705426
B160002,Prince George's,Montgomery Rd,CO,19.0,1.38,0.0,1.68,Montgomery Rd-.10 Mi S Of 34th Pl,Old Gunpowder Rd To Powder Mill Rd,Urban,5.0,Major Collector,1.0,North,2.0,F,9.14,90.61,86.57,13.43,2520.0,2501.0,2670.0,2651.0,2502.0,2752.0,164.0,https://maps.roads.maryland.gov/itms_public/?stationid=B160002,-76.92520219754213,39.04695452804613,B,True,False,pg_dc_spatial;pg_montgomery_spatial,True,2520.0,2501.0,2670.0,2651.0,2502.0,2752.0,2.0,1.0,19.0,9.14,90.61,181,24033807405,24033,Census Tract 8074.05,reject_not_near_tract_boundary,480.34751303248385
S2012161184,Prince George's,Palmer Rd,CO,3645.0,0.11,0.0,1.4,Palmer Rd - .10 Mi East Of Md 210,Indian Head Hwy To Tucker Rd,Urban,4.0,Minor Arterial,1.0,West,2.0,F,7.1,72.63,50.21,49.79,13745.0,14120.0,14715.0,15110.0,14121.0,14971.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012161184,-76.99240483426541,38.76646930909044,S,True,False,pg_dc_spatial,True,13745.0,14120.0,14715.0,15110.0,14121.0,14971.0,2.0,1.0,3645.0,7.1,72.63,1560,24033801406,24033,Census Tract 8014.06,reject_not_near_tract_boundary,185.09431450002253
S2012161157,Prince George's,Pennsy Dr,CO,2428.0,1.38,0.0,1.97,Pennsy Dr - .10 Mi East Of Md 410,Old Landover Rd To Corporate Dr,Urban,5.0,Major Collector,1.0,East,3.0,F,7.58,65.51,59.96,40.04,15405.0,16150.0,16335.0,17120.0,16151.0,17771.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012161157,-76.8742461344163,38.9399169155427,S,True,False,pg_dc_spatial;pg_montgomery_spatial,True,15405.0,16150.0,16335.0,17120.0,16151.0,17771.0,3.0,1.0,2428.0,7.58,65.51,483,24033803602,24033,Census Tract 8036.02,reject_not_near_tract_boundary,348.2062555286021
B2955,Montgomery,University Blvd W,MD,193.0,1.04,0.0,1.24,Md193-.20 Mi W Of Md586,Md 185 To Md 586,Urban,3.0,Principal Arterial Other,1.0,East,6.0,F,7.74,58.93,46.42,53.58,24122.0,22010.0,25812.0,23550.0,22011.0,23331.0,426.0,https://maps.roads.maryland.gov/itms_public/?stationid=B2955,-77.05830180565583,39.03828654157597,B,True,False,montgomery_dc_route;pg_montgomery_route;montgomery_dc_spatial;pg_montgomery_spatial,True,24122.0,22010.0,25812.0,23550.0,22011.0,23331.0,6.0,1.0,193.0,7.74,58.93,1191,24031703800,24031,Census Tract 7038,reject_not_near_tract_boundary,219.3698619577593
S2017150268,Montgomery,Diamondback Dr,CO,6166.0,0.1,0.0,0.7,Diamondback Dr - .10 Mile North Ofmd 28,Md 28 To Diamondback Dr (ahead),Urban,6.0,Minor Collector,1.0,North,3.0,F,13.1,53.64,45.5,54.5,3970.0,3931.0,4210.0,4171.0,3932.0,4332.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2017150268,-77.20206940633342,39.10648709143226,S,True,False,montgomery_dc_spatial,True,3970.0,3931.0,4210.0,4171.0,3932.0,4332.0,3.0,1.0,6166.0,13.1,53.64,363,24031700817,24031,Census Tract 7008.17,reject_not_near_tract_boundary,485.89345389437096
S2017150264,Montgomery,Broschart Rd,CO,4910.0,0.41,0.0,0.51,Broschart Rd - .10 Mile South Of Md 28,Medical Center Dr To Md 28,Urban,6.0,Minor Collector,1.0,South,4.0,F,10.83,76.15,54.24,45.76,3410.0,3381.0,3620.0,3581.0,3382.0,3722.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2017150264,-77.20043036452054,39.10391988291857,S,True,False,montgomery_dc_spatial,True,3410.0,3381.0,3620.0,3581.0,3382.0,3722.0,4.0,1.0,4910.0,10.83,76.15,363,24031700817,24031,Census Tract 7008.17,reject_not_near_tract_boundary,506.7961826123667
S2012150876,Montgomery,Sligo Ave,CO,4592.0,0.02,0.0,0.9,Sligo Ave - Between Us 29 & Philadelphia Ave,Georgia Ave To Piney Branch Rd,Urban,5.0,Major Collector,1.0,East,3.0,F,7.83,60.3,50.63,49.37,6065.0,5390.0,6435.0,5710.0,5391.0,5931.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150876,-77.02616325494466,38.99027331315982,S,True,False,montgomery_dc_spatial;pg_montgomery_spatial,True,6065.0,5390.0,6435.0,5710.0,5391.0,5931.0,3.0,1.0,4592.0,7.83,60.3,339,24031702500,24031,Census Tract 7025,reject_not_near_tract_boundary,190.69713090094203
